date,marketname,itemname,kindname,price
2023-06-02,엄궁도매,사과,후지(1kg),"5,600"
2023-06-05,엄궁도매,사과,후지(1kg),"5,600"
2023-06-07,엄궁도매,사과,후지(1kg),"5,830"
2023-06-08,엄궁도매,사과,후지(1kg),"5,830"
2023-06-09,엄궁도매,사과,후지(1kg),"5,830"
2023-06-12,엄궁도매,사과,후지(1kg),"5,830"
2023-06-13,엄궁도매,사과,후지(1kg),"5,830"
2023-06-14,엄궁도매,사과,후지(1kg),"5,830"
2023-06-15,엄궁도매,사과,후지(1kg),"6,030"
2023-06-16,엄궁도매,사과,후지(1kg),"6,230"
2023-06-19,엄궁도매,사과,후지(1kg),"6,230"
2023-06-20,엄궁도매,사과,후지(1kg),"6,430"
2023-06-21,엄궁도매,사과,후지(1kg),"6,430"
2023-06-22,엄궁도매,사과,후지(1kg),"6,760"
2023-06-23,엄궁도매,사과,후지(1kg),"6,760"
2023-06-26,엄궁도매,사과,후지(1kg),"6,760"
2023-06-27,엄궁도매,사과,후지(1kg),"6,760"
2023-06-28,엄궁도매,사과,후지(1kg),"6,760"
2023-06-29,엄궁도매,사과,후지(1kg),"6,760"
2023-06-30,엄궁도매,사과,후지(1kg),"6,760"
2023-07-03,엄궁도매,사과,후지(1kg),"7,200"
2023-07-04,엄궁도매,사과,후지(1kg),"7,200"
2023-07-05,엄궁도매,사과,후지(1kg),"7,200"
2023-07-06,엄궁도매,사과,후지(1kg),"7,200"
2023-07-07,엄궁도매,사과,후지(1kg),"7,200"
2023-07-10,엄궁도매,사과,후지(1kg),"7,200"
2023-07-11,엄궁도매,사과,후지(1kg),"7,500"
2023-07-12,엄궁도매,사과,후지(1kg),"7,500"
2023-07-13,엄궁도매,사과,후지(1kg),"7,500"
2023-07-14,엄궁도매,사과,후지(1kg),"7,500"
2023-07-17,엄궁도매,사과,후지(1kg),"7,500"
2023-07-18,엄궁도매,사과,후지(1kg),"7,500"
2023-07-19,엄궁도매,사과,후지(1kg),"7,500"
2023-07-20,엄궁도매,사과,후지(1kg),"7,500"
2023-07-21,엄궁도매,사과,후지(1kg),"7,500"
2023-07-24,엄궁도매,사과,후지(1kg),"7,500"
2023-07-25,엄궁도매,사과,후지(1kg),"7,500"
2023-07-26,엄궁도매,사과,후지(1kg),"7,500"
2023-07-27,엄궁도매,사과,후지(1kg),"7,500"
2023-07-28,엄궁도매,사과,후지(1kg),"7,500"
2023-07-31,엄궁도매,사과,후지(1kg),"7,500"
2023-08-01,엄궁도매,사과,후지(1kg),"7,500"
2023-08-02,엄궁도매,사과,후지(1kg),"7,500"
2023-08-03,엄궁도매,사과,후지(1kg),"7,500"
2023-08-04,엄궁도매,사과,후지(1kg),"7,500"
2023-08-07,엄궁도매,사과,후지(1kg),"7,500"
2023-08-08,엄궁도매,사과,후지(1kg),"7,500"
2023-08-09,엄궁도매,사과,후지(1kg),"7,500"
2023-08-10,엄궁도매,사과,후지(1kg),"7,500"
2023-10-12,엄궁도매,사과,후지(1kg),"7,500"
2023-10-13,엄궁도매,사과,후지(1kg),"7,500"
2023-10-16,엄궁도매,사과,후지(1kg),"7,500"
2023-10-17,엄궁도매,사과,후지(1kg),"7,300"
2023-10-18,엄궁도매,사과,후지(1kg),"7,300"
2023-10-19,엄궁도매,사과,후지(1kg),"7,000"
2023-10-20,엄궁도매,사과,후지(1kg),"7,000"
2023-10-23,엄궁도매,사과,후지(1kg),"7,000"
2023-10-24,엄궁도매,사과,후지(1kg),"7,000"
2023-10-25,엄궁도매,사과,후지(1kg),"7,000"
2023-10-26,엄궁도매,사과,후지(1kg),"7,000"
2023-10-27,엄궁도매,사과,후지(1kg),"6,600"
2023-10-30,엄궁도매,사과,후지(1kg),"6,600"
2023-10-31,엄궁도매,사과,후지(1kg),"6,300"
2023-11-01,엄궁도매,사과,후지(1kg),"6,300"
2023-11-02,엄궁도매,사과,후지(1kg),"6,300"
2023-11-03,엄궁도매,사과,후지(1kg),"6,300"
2023-11-06,엄궁도매,사과,후지(1kg),"6,300"
2023-11-07,엄궁도매,사과,후지(1kg),"6,300"
2023-11-08,엄궁도매,사과,후지(1kg),"6,300"
2023-11-09,엄궁도매,사과,후지(1kg),"6,300"
2023-11-10,엄궁도매,사과,후지(1kg),"6,000"
2023-11-13,엄궁도매,사과,후지(1kg),"6,300"
2023-11-14,엄궁도매,사과,후지(1kg),"6,500"
2023-11-15,엄궁도매,사과,후지(1kg),"6,800"
2023-11-16,엄궁도매,사과,후지(1kg),"6,800"
2023-11-17,엄궁도매,사과,후지(1kg),"6,800"
2023-11-20,엄궁도매,사과,후지(1kg),"6,800"
2023-11-21,엄궁도매,사과,후지(1kg),"7,300"
2023-11-22,엄궁도매,사과,후지(1kg),"7,600"
2023-11-23,엄궁도매,사과,후지(1kg),"7,900"
2023-11-24,엄궁도매,사과,후지(1kg),"7,900"
