,date,marketname,itemname,kindname,price
489,2023-06-02,엄궁도매,배추,봄(1kg),833
490,2023-06-05,엄궁도매,배추,봄(1kg),833
491,2023-06-07,엄궁도매,배추,봄(1kg),833
492,2023-06-08,엄궁도매,배추,봄(1kg),833
493,2023-06-09,엄궁도매,배추,봄(1kg),833
494,2023-06-12,엄궁도매,배추,봄(1kg),866
495,2023-06-13,엄궁도매,배추,봄(1kg),866
496,2023-06-14,엄궁도매,배추,봄(1kg),866
497,2023-06-15,엄궁도매,배추,봄(1kg),866
498,2023-06-16,엄궁도매,배추,봄(1kg),866
499,2023-06-19,엄궁도매,배추,봄(1kg),866
500,2023-06-20,엄궁도매,배추,봄(1kg),800
501,2023-06-21,엄궁도매,배추,봄(1kg),833
502,2023-06-22,엄궁도매,배추,봄(1kg),833
503,2023-06-23,엄궁도매,배추,봄(1kg),833
504,2023-06-26,엄궁도매,배추,봄(1kg),933
505,2023-06-27,엄궁도매,배추,봄(1kg),"1,230"
506,2023-06-28,엄궁도매,배추,봄(1kg),"1,230"
507,2023-06-29,엄궁도매,배추,봄(1kg),"1,030"
508,2023-06-30,엄궁도매,배추,봄(1kg),966
509,2023-07-03,엄궁도매,배추,봄(1kg),933
510,2023-07-04,엄궁도매,배추,봄(1kg),933
511,2023-07-05,엄궁도매,배추,봄(1kg),933
512,2023-07-06,엄궁도매,배추,봄(1kg),966
513,2023-07-07,엄궁도매,배추,봄(1kg),966
514,2023-07-10,엄궁도매,배추,봄(1kg),966
759,2023-07-11,엄궁도매,배추,여름(고랭지)(1kg),900
760,2023-07-12,엄궁도매,배추,여름(고랭지)(1kg),900
761,2023-07-13,엄궁도매,배추,여름(고랭지)(1kg),900
762,2023-07-14,엄궁도매,배추,여름(고랭지)(1kg),900
763,2023-07-17,엄궁도매,배추,여름(고랭지)(1kg),900
764,2023-07-18,엄궁도매,배추,여름(고랭지)(1kg),900
765,2023-07-19,엄궁도매,배추,여름(고랭지)(1kg),900
766,2023-07-20,엄궁도매,배추,여름(고랭지)(1kg),900
767,2023-07-21,엄궁도매,배추,여름(고랭지)(1kg),900
768,2023-07-24,엄궁도매,배추,여름(고랭지)(1kg),"1,260"
769,2023-07-25,엄궁도매,배추,여름(고랭지)(1kg),"1,160"
770,2023-07-26,엄궁도매,배추,여름(고랭지)(1kg),"1,000"
771,2023-07-27,엄궁도매,배추,여름(고랭지)(1kg),"1,000"
772,2023-07-28,엄궁도매,배추,여름(고랭지)(1kg),"1,300"
773,2023-07-31,엄궁도매,배추,여름(고랭지)(1kg),"1,160"
774,2023-08-01,엄궁도매,배추,여름(고랭지)(1kg),"1,200"
775,2023-08-02,엄궁도매,배추,여름(고랭지)(1kg),"1,400"
776,2023-08-03,엄궁도매,배추,여름(고랭지)(1kg),"1,600"
777,2023-08-04,엄궁도매,배추,여름(고랭지)(1kg),"1,800"
778,2023-08-07,엄궁도매,배추,여름(고랭지)(1kg),"2,000"
779,2023-08-08,엄궁도매,배추,여름(고랭지)(1kg),"2,000"
780,2023-08-09,엄궁도매,배추,여름(고랭지)(1kg),"2,100"
781,2023-08-10,엄궁도매,배추,여름(고랭지)(1kg),"2,100"
782,2023-08-11,엄궁도매,배추,여름(고랭지)(1kg),"2,100"
783,2023-08-14,엄궁도매,배추,여름(고랭지)(1kg),"1,800"
784,2023-08-16,엄궁도매,배추,여름(고랭지)(1kg),"1,650"
785,2023-08-17,엄궁도매,배추,여름(고랭지)(1kg),"1,500"
786,2023-08-18,엄궁도매,배추,여름(고랭지)(1kg),"1,400"
787,2023-08-21,엄궁도매,배추,여름(고랭지)(1kg),"1,500"
788,2023-08-22,엄궁도매,배추,여름(고랭지)(1kg),"1,500"
789,2023-08-23,엄궁도매,배추,여름(고랭지)(1kg),"1,500"
790,2023-08-24,엄궁도매,배추,여름(고랭지)(1kg),"1,500"
791,2023-08-25,엄궁도매,배추,여름(고랭지)(1kg),"1,500"
792,2023-08-28,엄궁도매,배추,여름(고랭지)(1kg),"1,400"
793,2023-08-29,엄궁도매,배추,여름(고랭지)(1kg),"1,400"
794,2023-08-30,엄궁도매,배추,여름(고랭지)(1kg),"1,400"
795,2023-08-31,엄궁도매,배추,여름(고랭지)(1kg),"1,400"
796,2023-09-01,엄궁도매,배추,여름(고랭지)(1kg),"1,400"
797,2023-09-04,엄궁도매,배추,여름(고랭지)(1kg),"1,300"
798,2023-09-05,엄궁도매,배추,여름(고랭지)(1kg),"1,300"
799,2023-09-06,엄궁도매,배추,여름(고랭지)(1kg),"1,300"
800,2023-09-07,엄궁도매,배추,여름(고랭지)(1kg),"1,300"
801,2023-09-08,엄궁도매,배추,여름(고랭지)(1kg),"1,300"
802,2023-09-11,엄궁도매,배추,여름(고랭지)(1kg),"1,500"
803,2023-09-12,엄궁도매,배추,여름(고랭지)(1kg),"1,500"
804,2023-09-13,엄궁도매,배추,여름(고랭지)(1kg),"1,500"
805,2023-09-14,엄궁도매,배추,여름(고랭지)(1kg),"1,500"
806,2023-09-15,엄궁도매,배추,여름(고랭지)(1kg),"1,800"
807,2023-09-18,엄궁도매,배추,여름(고랭지)(1kg),"1,800"
808,2023-09-19,엄궁도매,배추,여름(고랭지)(1kg),"1,700"
809,2023-09-20,엄궁도매,배추,여름(고랭지)(1kg),"1,700"
810,2023-09-21,엄궁도매,배추,여름(고랭지)(1kg),"1,700"
811,2023-09-22,엄궁도매,배추,여름(고랭지)(1kg),"1,700"
812,2023-09-25,엄궁도매,배추,여름(고랭지)(1kg),"1,800"
813,2023-09-26,엄궁도매,배추,여름(고랭지)(1kg),"1,900"
814,2023-09-27,엄궁도매,배추,여름(고랭지)(1kg),"2,200"
815,2023-10-04,엄궁도매,배추,여름(고랭지)(1kg),"1,900"
