,date,marketname,itemname,kindname,price
377,2023-06-13,공동어,고등어,생선(1kg),"6,130"
378,2023-06-14,공동어,고등어,생선(1kg),"6,130"
379,2023-06-15,공동어,고등어,생선(1kg),"6,000"
380,2023-06-19,공동어,고등어,생선(1kg),"6,130"
381,2023-06-26,공동어,고등어,생선(1kg),"6,260"
382,2023-06-27,공동어,고등어,생선(1kg),"6,260"
383,2023-06-28,공동어,고등어,생선(1kg),"6,260"
384,2023-07-03,공동어,고등어,생선(1kg),"6,930"
385,2023-07-04,공동어,고등어,생선(1kg),"6,930"
386,2023-07-10,공동어,고등어,생선(1kg),"6,100"
387,2023-07-11,공동어,고등어,생선(1kg),"6,100"
388,2023-07-12,공동어,고등어,생선(1kg),"6,070"
389,2023-07-13,공동어,고등어,생선(1kg),"6,070"
390,2023-07-14,공동어,고등어,생선(1kg),"6,120"
391,2023-07-17,공동어,고등어,생선(1kg),"6,080"
392,2023-07-18,공동어,고등어,생선(1kg),"6,000"
393,2023-07-19,공동어,고등어,생선(1kg),"5,970"
394,2023-07-20,공동어,고등어,생선(1kg),"5,970"
395,2023-07-21,공동어,고등어,생선(1kg),"5,970"
396,2023-07-24,공동어,고등어,생선(1kg),"5,920"
397,2023-07-25,공동어,고등어,생선(1kg),"5,920"
398,2023-07-26,공동어,고등어,생선(1kg),"5,920"
399,2023-07-27,공동어,고등어,생선(1kg),"5,920"
400,2023-07-28,공동어,고등어,생선(1kg),"5,900"
401,2023-07-31,공동어,고등어,생선(1kg),"5,900"
402,2023-08-01,공동어,고등어,생선(1kg),"6,050"
403,2023-08-02,공동어,고등어,생선(1kg),"6,050"
404,2023-08-03,공동어,고등어,생선(1kg),"6,050"
405,2023-08-04,공동어,고등어,생선(1kg),"6,050"
406,2023-08-07,공동어,고등어,생선(1kg),"6,300"
407,2023-08-08,공동어,고등어,생선(1kg),"6,300"
408,2023-08-09,공동어,고등어,생선(1kg),"6,650"
409,2023-08-10,공동어,고등어,생선(1kg),"6,650"
410,2023-08-14,공동어,고등어,생선(1kg),"6,060"
411,2023-08-16,공동어,고등어,생선(1kg),"6,060"
412,2023-08-17,공동어,고등어,생선(1kg),"6,130"
413,2023-08-18,공동어,고등어,생선(1kg),"6,130"
414,2023-08-21,공동어,고등어,생선(1kg),"5,530"
415,2023-08-22,공동어,고등어,생선(1kg),"5,460"
416,2023-08-23,공동어,고등어,생선(1kg),"5,460"
