,date,marketname,itemname,kindname,price
485,2023-06-02,부전,쌀,20kg(1kg),"2,410"
486,2023-06-05,부전,쌀,20kg(1kg),"2,425"
487,2023-06-07,부전,쌀,20kg(1kg),"2,425"
488,2023-06-08,부전,쌀,20kg(1kg),"2,425"
489,2023-06-09,부전,쌀,20kg(1kg),"2,425"
490,2023-06-12,부전,쌀,20kg(1kg),"2,425"
491,2023-06-13,부전,쌀,20kg(1kg),"2,425"
492,2023-06-14,부전,쌀,20kg(1kg),"2,425"
493,2023-06-15,부전,쌀,20kg(1kg),"2,425"
494,2023-06-16,부전,쌀,20kg(1kg),"2,425"
495,2023-06-19,부전,쌀,20kg(1kg),"2,425"
496,2023-06-20,부전,쌀,20kg(1kg),"2,425"
497,2023-06-21,부전,쌀,20kg(1kg),"2,425"
498,2023-06-22,부전,쌀,20kg(1kg),"2,425"
499,2023-06-23,부전,쌀,20kg(1kg),"2,425"
500,2023-06-26,부전,쌀,20kg(1kg),"2,425"
501,2023-06-27,부전,쌀,20kg(1kg),"2,425"
502,2023-06-28,부전,쌀,20kg(1kg),"2,425"
503,2023-06-29,부전,쌀,20kg(1kg),"2,425"
504,2023-06-30,부전,쌀,20kg(1kg),"2,425"
505,2023-07-03,부전,쌀,20kg(1kg),"2,425"
506,2023-07-04,부전,쌀,20kg(1kg),"2,425"
507,2023-07-05,부전,쌀,20kg(1kg),"2,425"
508,2023-07-06,부전,쌀,20kg(1kg),"2,425"
509,2023-07-07,부전,쌀,20kg(1kg),"2,425"
510,2023-07-10,부전,쌀,20kg(1kg),"2,425"
511,2023-07-11,부전,쌀,20kg(1kg),"2,425"
512,2023-07-12,부전,쌀,20kg(1kg),"2,425"
513,2023-07-13,부전,쌀,20kg(1kg),"2,425"
514,2023-07-14,부전,쌀,20kg(1kg),"2,425"
515,2023-07-17,부전,쌀,20kg(1kg),"2,425"
516,2023-07-18,부전,쌀,20kg(1kg),"2,425"
517,2023-07-19,부전,쌀,20kg(1kg),"2,425"
518,2023-07-20,부전,쌀,20kg(1kg),"2,425"
519,2023-07-21,부전,쌀,20kg(1kg),"2,425"
520,2023-07-24,부전,쌀,20kg(1kg),"2,425"
521,2023-07-25,부전,쌀,20kg(1kg),"2,425"
522,2023-07-26,부전,쌀,20kg(1kg),"2,425"
523,2023-07-27,부전,쌀,20kg(1kg),"2,425"
524,2023-07-28,부전,쌀,20kg(1kg),"2,425"
525,2023-07-31,부전,쌀,20kg(1kg),"2,425"
526,2023-08-01,부전,쌀,20kg(1kg),"2,425"
527,2023-08-02,부전,쌀,20kg(1kg),"2,425"
528,2023-08-03,부전,쌀,20kg(1kg),"2,425"
529,2023-08-04,부전,쌀,20kg(1kg),"2,425"
530,2023-08-07,부전,쌀,20kg(1kg),"2,425"
531,2023-08-08,부전,쌀,20kg(1kg),"2,425"
532,2023-08-09,부전,쌀,20kg(1kg),"2,425"
533,2023-08-10,부전,쌀,20kg(1kg),"2,425"
534,2023-08-11,부전,쌀,20kg(1kg),"2,425"
535,2023-08-14,부전,쌀,20kg(1kg),"2,425"
536,2023-08-16,부전,쌀,20kg(1kg),"2,425"
537,2023-08-17,부전,쌀,20kg(1kg),"2,425"
538,2023-08-18,부전,쌀,20kg(1kg),"2,425"
539,2023-08-21,부전,쌀,20kg(1kg),"2,425"
540,2023-08-22,부전,쌀,20kg(1kg),"2,425"
541,2023-08-23,부전,쌀,20kg(1kg),"2,425"
542,2023-08-24,부전,쌀,20kg(1kg),"2,425"
543,2023-08-25,부전,쌀,20kg(1kg),"2,480"
544,2023-08-28,부전,쌀,20kg(1kg),"2,540"
545,2023-08-29,부전,쌀,20kg(1kg),"2,560"
546,2023-08-30,부전,쌀,20kg(1kg),"2,570"
547,2023-08-31,부전,쌀,20kg(1kg),"2,570"
548,2023-09-01,부전,쌀,20kg(1kg),"2,570"
549,2023-09-04,부전,쌀,20kg(1kg),"2,570"
550,2023-09-05,부전,쌀,20kg(1kg),"2,570"
551,2023-09-06,부전,쌀,20kg(1kg),"2,570"
552,2023-09-07,부전,쌀,20kg(1kg),"2,570"
553,2023-09-08,부전,쌀,20kg(1kg),"2,570"
554,2023-09-11,부전,쌀,20kg(1kg),"2,570"
555,2023-09-12,부전,쌀,20kg(1kg),"2,570"
556,2023-09-13,부전,쌀,20kg(1kg),"2,570"
557,2023-09-14,부전,쌀,20kg(1kg),"2,570"
558,2023-09-15,부전,쌀,20kg(1kg),"2,570"
559,2023-09-18,부전,쌀,20kg(1kg),"2,570"
560,2023-09-19,부전,쌀,20kg(1kg),"2,570"
561,2023-09-20,부전,쌀,20kg(1kg),"2,570"
562,2023-09-21,부전,쌀,20kg(1kg),"2,530"
563,2023-09-22,부전,쌀,20kg(1kg),"2,530"
564,2023-09-25,부전,쌀,20kg(1kg),"2,530"
565,2023-09-26,부전,쌀,20kg(1kg),"2,530"
566,2023-09-27,부전,쌀,20kg(1kg),"2,530"
567,2023-10-04,부전,쌀,20kg(1kg),"2,530"
568,2023-10-05,부전,쌀,20kg(1kg),"2,530"
569,2023-10-06,부전,쌀,20kg(1kg),"2,530"
570,2023-10-10,부전,쌀,20kg(1kg),"2,530"
