,date,marketname,itemname,kindname,price
413,2023-06-02,북부도매,사과,후지(1kg),"5,800"
414,2023-06-05,북부도매,사과,후지(1kg),"5,600"
415,2023-06-07,북부도매,사과,후지(1kg),"5,700"
416,2023-06-08,북부도매,사과,후지(1kg),"5,700"
417,2023-06-09,북부도매,사과,후지(1kg),"5,700"
418,2023-06-12,북부도매,사과,후지(1kg),"5,900"
419,2023-06-13,북부도매,사과,후지(1kg),"5,900"
420,2023-06-14,북부도매,사과,후지(1kg),"5,900"
421,2023-06-15,북부도매,사과,후지(1kg),"5,900"
422,2023-06-16,북부도매,사과,후지(1kg),"6,100"
423,2023-06-19,북부도매,사과,후지(1kg),"6,100"
424,2023-06-20,북부도매,사과,후지(1kg),"6,100"
425,2023-06-21,북부도매,사과,후지(1kg),"6,100"
426,2023-06-22,북부도매,사과,후지(1kg),"6,200"
427,2023-06-23,북부도매,사과,후지(1kg),"6,200"
428,2023-06-26,북부도매,사과,후지(1kg),"6,400"
429,2023-06-27,북부도매,사과,후지(1kg),"6,400"
430,2023-06-28,북부도매,사과,후지(1kg),"6,400"
431,2023-06-29,북부도매,사과,후지(1kg),"6,400"
432,2023-06-30,북부도매,사과,후지(1kg),"6,400"
433,2023-07-03,북부도매,사과,후지(1kg),"6,700"
434,2023-07-04,북부도매,사과,후지(1kg),"7,000"
435,2023-07-05,북부도매,사과,후지(1kg),"7,000"
436,2023-07-06,북부도매,사과,후지(1kg),"7,000"
437,2023-07-07,북부도매,사과,후지(1kg),"7,000"
438,2023-07-10,북부도매,사과,후지(1kg),"7,000"
439,2023-07-11,북부도매,사과,후지(1kg),"7,000"
440,2023-07-12,북부도매,사과,후지(1kg),"7,000"
441,2023-07-13,북부도매,사과,후지(1kg),"7,000"
442,2023-07-14,북부도매,사과,후지(1kg),"7,000"
443,2023-07-17,북부도매,사과,후지(1kg),"7,000"
444,2023-07-18,북부도매,사과,후지(1kg),"7,000"
445,2023-07-19,북부도매,사과,후지(1kg),"7,000"
446,2023-07-20,북부도매,사과,후지(1kg),"7,000"
447,2023-07-21,북부도매,사과,후지(1kg),"7,000"
448,2023-07-24,북부도매,사과,후지(1kg),"7,000"
449,2023-07-25,북부도매,사과,후지(1kg),"7,000"
450,2023-07-26,북부도매,사과,후지(1kg),"7,000"
451,2023-07-27,북부도매,사과,후지(1kg),"7,000"
452,2023-07-28,북부도매,사과,후지(1kg),"7,000"
453,2023-07-31,북부도매,사과,후지(1kg),"7,000"
454,2023-08-01,북부도매,사과,후지(1kg),"7,000"
455,2023-08-02,북부도매,사과,후지(1kg),"7,000"
456,2023-08-03,북부도매,사과,후지(1kg),"7,000"
457,2023-08-04,북부도매,사과,후지(1kg),"7,000"
458,2023-08-07,북부도매,사과,후지(1kg),"8,000"
459,2023-08-08,북부도매,사과,후지(1kg),"8,000"
460,2023-08-09,북부도매,사과,후지(1kg),"8,000"
461,2023-08-10,북부도매,사과,후지(1kg),"8,000"
462,2023-10-12,북부도매,사과,후지(1kg),"8,200"
463,2023-10-13,북부도매,사과,후지(1kg),"8,400"
464,2023-10-16,북부도매,사과,후지(1kg),"8,400"
465,2023-10-17,북부도매,사과,후지(1kg),"7,800"
466,2023-10-18,북부도매,사과,후지(1kg),"7,800"
467,2023-10-19,북부도매,사과,후지(1kg),"7,400"
468,2023-10-20,북부도매,사과,후지(1kg),"7,400"
469,2023-10-23,북부도매,사과,후지(1kg),"7,400"
470,2023-10-24,북부도매,사과,후지(1kg),"7,230"
471,2023-10-25,북부도매,사과,후지(1kg),"7,230"
472,2023-10-26,북부도매,사과,후지(1kg),"7,000"
473,2023-10-27,북부도매,사과,후지(1kg),"7,000"
474,2023-10-30,북부도매,사과,후지(1kg),"7,000"
475,2023-10-31,북부도매,사과,후지(1kg),"6,500"
476,2023-11-01,북부도매,사과,후지(1kg),"6,500"
477,2023-11-02,북부도매,사과,후지(1kg),"6,500"
478,2023-11-03,북부도매,사과,후지(1kg),"6,500"
479,2023-11-06,북부도매,사과,후지(1kg),"6,300"
480,2023-11-07,북부도매,사과,후지(1kg),"6,300"
481,2023-11-08,북부도매,사과,후지(1kg),"6,300"
482,2023-11-09,북부도매,사과,후지(1kg),"6,500"
483,2023-11-10,북부도매,사과,후지(1kg),"6,500"
484,2023-11-13,북부도매,사과,후지(1kg),"6,200"
485,2023-11-14,북부도매,사과,후지(1kg),"6,200"
486,2023-11-15,북부도매,사과,후지(1kg),"6,400"
487,2023-11-16,북부도매,사과,후지(1kg),"6,400"
488,2023-11-17,북부도매,사과,후지(1kg),"6,500"
489,2023-11-20,북부도매,사과,후지(1kg),"6,600"
490,2023-11-21,북부도매,사과,후지(1kg),"6,700"
491,2023-11-22,북부도매,사과,후지(1kg),"6,900"
492,2023-11-23,북부도매,사과,후지(1kg),"7,300"
493,2023-11-24,북부도매,사과,후지(1kg),"7,300"
494,2023-11-27,북부도매,사과,후지(1kg),"7,300"
495,2023-11-28,북부도매,사과,후지(1kg),"7,300"
496,2023-11-29,북부도매,사과,후지(1kg),"7,300"
497,2023-11-30,북부도매,사과,후지(1kg),"7,500"
498,2023-12-04,북부도매,사과,후지(1kg),"7,500"
499,2023-12-05,북부도매,사과,후지(1kg),"7,500"
500,2023-12-06,북부도매,사과,후지(1kg),"7,500"
501,2023-12-07,북부도매,사과,후지(1kg),"7,500"
502,2023-12-08,북부도매,사과,후지(1kg),"7,500"
503,2023-12-11,북부도매,사과,후지(1kg),"7,500"
504,2023-12-12,북부도매,사과,후지(1kg),"7,500"
505,2023-12-13,북부도매,사과,후지(1kg),"7,500"
506,2023-12-14,북부도매,사과,후지(1kg),"7,500"
507,2023-12-15,북부도매,사과,후지(1kg),"7,500"
508,2023-12-18,북부도매,사과,후지(1kg),"7,500"
509,2023-12-19,북부도매,사과,후지(1kg),"7,500"
510,2023-12-20,북부도매,사과,후지(1kg),"7,500"
511,2023-12-21,북부도매,사과,후지(1kg),"7,500"
512,2023-12-22,북부도매,사과,후지(1kg),"7,500"
513,2023-12-26,북부도매,사과,후지(1kg),"7,500"
514,2023-12-27,북부도매,사과,후지(1kg),"7,500"
515,2023-12-28,북부도매,사과,후지(1kg),"7,800"
516,2023-12-29,북부도매,사과,후지(1kg),"7,800"
517,2024-01-02,북부도매,사과,후지(1kg),"7,800"
518,2024-01-03,북부도매,사과,후지(1kg),"8,000"
519,2024-01-04,북부도매,사과,후지(1kg),"8,000"
520,2024-01-05,북부도매,사과,후지(1kg),"8,000"
521,2024-01-08,북부도매,사과,후지(1kg),"8,000"
522,2024-01-09,북부도매,사과,후지(1kg),"8,000"
523,2024-01-10,북부도매,사과,후지(1kg),"8,000"
524,2024-01-11,북부도매,사과,후지(1kg),"8,200"
525,2024-01-12,북부도매,사과,후지(1kg),"8,200"
526,2024-01-15,북부도매,사과,후지(1kg),"8,200"
527,2024-01-16,북부도매,사과,후지(1kg),"8,200"
528,2024-01-17,북부도매,사과,후지(1kg),"8,200"
529,2024-01-18,북부도매,사과,후지(1kg),"8,200"
530,2024-01-19,북부도매,사과,후지(1kg),"8,200"
531,2024-01-22,북부도매,사과,후지(1kg),"8,200"
532,2024-01-23,북부도매,사과,후지(1kg),"8,200"
533,2024-01-24,북부도매,사과,후지(1kg),"8,200"
534,2024-01-25,북부도매,사과,후지(1kg),"8,200"
535,2024-01-26,북부도매,사과,후지(1kg),"8,200"
536,2024-01-29,북부도매,사과,후지(1kg),"8,400"
537,2024-01-30,북부도매,사과,후지(1kg),"8,400"
538,2024-01-31,북부도매,사과,후지(1kg),"8,200"
539,2024-02-01,북부도매,사과,후지(1kg),"8,200"
540,2024-02-02,북부도매,사과,후지(1kg),"8,200"
541,2024-02-05,북부도매,사과,후지(1kg),"8,000"
542,2024-02-06,북부도매,사과,후지(1kg),"8,000"
543,2024-02-07,북부도매,사과,후지(1kg),"8,000"
544,2024-02-08,북부도매,사과,후지(1kg),"8,000"
545,2024-02-13,북부도매,사과,후지(1kg),"8,000"
546,2024-02-14,북부도매,사과,후지(1kg),"8,000"
547,2024-02-15,북부도매,사과,후지(1kg),"8,000"
548,2024-02-16,북부도매,사과,후지(1kg),"8,000"
549,2024-02-19,북부도매,사과,후지(1kg),"8,000"
550,2024-02-20,북부도매,사과,후지(1kg),"8,000"
551,2024-02-21,북부도매,사과,후지(1kg),"8,500"
552,2024-02-22,북부도매,사과,후지(1kg),"8,500"
553,2024-02-23,북부도매,사과,후지(1kg),"8,700"
554,2024-02-26,북부도매,사과,후지(1kg),"8,700"
555,2024-02-27,북부도매,사과,후지(1kg),"8,700"
556,2024-02-28,북부도매,사과,후지(1kg),"8,700"
557,2024-02-29,북부도매,사과,후지(1kg),"8,700"
558,2024-03-04,북부도매,사과,후지(1kg),"8,700"
559,2024-03-05,북부도매,사과,후지(1kg),"8,700"
560,2024-03-06,북부도매,사과,후지(1kg),"8,700"
561,2024-03-07,북부도매,사과,후지(1kg),"8,860"
562,2024-03-08,북부도매,사과,후지(1kg),"8,860"
563,2024-03-11,북부도매,사과,후지(1kg),"8,860"
564,2024-03-12,북부도매,사과,후지(1kg),"8,860"
565,2024-03-13,북부도매,사과,후지(1kg),"8,860"
566,2024-03-14,북부도매,사과,후지(1kg),"8,860"
567,2024-03-15,북부도매,사과,후지(1kg),"8,860"
568,2024-03-18,북부도매,사과,후지(1kg),"8,860"
569,2024-03-19,북부도매,사과,후지(1kg),"8,860"
570,2024-03-20,북부도매,사과,후지(1kg),"8,860"
571,2024-03-21,북부도매,사과,후지(1kg),"8,860"
572,2024-03-22,북부도매,사과,후지(1kg),"8,900"
573,2024-03-25,북부도매,사과,후지(1kg),"8,900"
574,2024-03-26,북부도매,사과,후지(1kg),"8,900"
575,2024-03-27,북부도매,사과,후지(1kg),"8,900"
576,2024-03-28,북부도매,사과,후지(1kg),"8,900"
577,2024-03-29,북부도매,사과,후지(1kg),"8,900"
578,2024-04-01,북부도매,사과,후지(1kg),"8,900"
579,2024-04-02,북부도매,사과,후지(1kg),"8,900"
580,2024-04-03,북부도매,사과,후지(1kg),"8,900"
581,2024-04-04,북부도매,사과,후지(1kg),"8,900"
582,2024-04-05,북부도매,사과,후지(1kg),"8,900"
583,2024-04-08,북부도매,사과,후지(1kg),"8,900"
584,2024-04-09,북부도매,사과,후지(1kg),"8,900"
585,2024-04-11,북부도매,사과,후지(1kg),"8,900"
586,2024-04-12,북부도매,사과,후지(1kg),"8,900"
587,2024-04-15,북부도매,사과,후지(1kg),"8,900"
588,2024-04-16,북부도매,사과,후지(1kg),"8,900"
589,2024-04-17,북부도매,사과,후지(1kg),"8,900"
590,2024-04-18,북부도매,사과,후지(1kg),"8,900"
591,2024-04-19,북부도매,사과,후지(1kg),"8,900"
592,2024-04-22,북부도매,사과,후지(1kg),"8,900"
593,2024-04-23,북부도매,사과,후지(1kg),"8,900"
594,2024-04-24,북부도매,사과,후지(1kg),"8,900"
595,2024-04-25,북부도매,사과,후지(1kg),"8,900"
596,2024-04-26,북부도매,사과,후지(1kg),"8,900"
597,2024-04-29,북부도매,사과,후지(1kg),"8,900"
598,2024-04-30,북부도매,사과,후지(1kg),"8,900"
599,2024-05-02,북부도매,사과,후지(1kg),"8,900"
600,2024-05-03,북부도매,사과,후지(1kg),"8,900"
601,2024-05-07,북부도매,사과,후지(1kg),"8,900"
602,2024-05-08,북부도매,사과,후지(1kg),"8,900"
603,2024-05-09,북부도매,사과,후지(1kg),"8,900"
604,2024-05-10,북부도매,사과,후지(1kg),"9,200"
605,2024-05-13,북부도매,사과,후지(1kg),"9,200"
606,2024-05-14,북부도매,사과,후지(1kg),"9,200"
607,2024-05-16,북부도매,사과,후지(1kg),"9,200"
608,2024-05-17,북부도매,사과,후지(1kg),"9,200"
609,2024-05-20,북부도매,사과,후지(1kg),"9,200"
610,2024-05-21,북부도매,사과,후지(1kg),"9,200"
611,2024-05-22,북부도매,사과,후지(1kg),"9,200"
612,2024-05-23,북부도매,사과,후지(1kg),"9,200"
613,2024-05-24,북부도매,사과,후지(1kg),"9,200"
614,2024-05-27,북부도매,사과,후지(1kg),"9,200"
615,2024-05-28,북부도매,사과,후지(1kg),"9,200"
616,2024-05-29,북부도매,사과,후지(1kg),"9,200"
617,2024-05-30,북부도매,사과,후지(1kg),"9,200"
618,2024-05-31,북부도매,사과,후지(1kg),"9,200"
