,date,marketname,itemname,kindname,price
489,2023-06-02,북부도매,배추,봄(1kg),800
490,2023-06-05,북부도매,배추,봄(1kg),800
491,2023-06-07,북부도매,배추,봄(1kg),800
492,2023-06-08,북부도매,배추,봄(1kg),800
493,2023-06-09,북부도매,배추,봄(1kg),800
494,2023-06-12,북부도매,배추,봄(1kg),800
495,2023-06-13,북부도매,배추,봄(1kg),800
496,2023-06-14,북부도매,배추,봄(1kg),787
497,2023-06-15,북부도매,배추,봄(1kg),787
498,2023-06-16,북부도매,배추,봄(1kg),800
499,2023-06-19,북부도매,배추,봄(1kg),800
500,2023-06-20,북부도매,배추,봄(1kg),800
501,2023-06-21,북부도매,배추,봄(1kg),850
502,2023-06-22,북부도매,배추,봄(1kg),850
503,2023-06-23,북부도매,배추,봄(1kg),850
504,2023-06-26,북부도매,배추,봄(1kg),900
505,2023-06-27,북부도매,배추,봄(1kg),975
506,2023-06-28,북부도매,배추,봄(1kg),975
507,2023-06-29,북부도매,배추,봄(1kg),975
508,2023-06-30,북부도매,배추,봄(1kg),950
509,2023-07-03,북부도매,배추,봄(1kg),925
510,2023-07-04,북부도매,배추,봄(1kg),850
511,2023-07-05,북부도매,배추,봄(1kg),850
512,2023-07-06,북부도매,배추,봄(1kg),850
513,2023-07-07,북부도매,배추,봄(1kg),850
514,2023-07-10,북부도매,배추,봄(1kg),850
759,2023-07-11,북부도매,배추,여름(고랭지)(1kg),800
760,2023-07-12,북부도매,배추,여름(고랭지)(1kg),800
761,2023-07-13,북부도매,배추,여름(고랭지)(1kg),850
762,2023-07-14,북부도매,배추,여름(고랭지)(1kg),900
763,2023-07-17,북부도매,배추,여름(고랭지)(1kg),900
764,2023-07-18,북부도매,배추,여름(고랭지)(1kg),900
765,2023-07-19,북부도매,배추,여름(고랭지)(1kg),900
766,2023-07-20,북부도매,배추,여름(고랭지)(1kg),900
767,2023-07-21,북부도매,배추,여름(고랭지)(1kg),900
768,2023-07-24,북부도매,배추,여름(고랭지)(1kg),"1,000"
769,2023-07-25,북부도매,배추,여름(고랭지)(1kg),"1,000"
770,2023-07-26,북부도매,배추,여름(고랭지)(1kg),"1,000"
771,2023-07-27,북부도매,배추,여름(고랭지)(1kg),"1,000"
772,2023-07-28,북부도매,배추,여름(고랭지)(1kg),"1,100"
773,2023-07-31,북부도매,배추,여름(고랭지)(1kg),"1,100"
774,2023-08-01,북부도매,배추,여름(고랭지)(1kg),"1,300"
775,2023-08-02,북부도매,배추,여름(고랭지)(1kg),"1,400"
776,2023-08-03,북부도매,배추,여름(고랭지)(1kg),"1,500"
777,2023-08-04,북부도매,배추,여름(고랭지)(1kg),"1,700"
778,2023-08-07,북부도매,배추,여름(고랭지)(1kg),"1,900"
779,2023-08-08,북부도매,배추,여름(고랭지)(1kg),"2,000"
780,2023-08-09,북부도매,배추,여름(고랭지)(1kg),"2,000"
781,2023-08-10,북부도매,배추,여름(고랭지)(1kg),"2,200"
782,2023-08-11,북부도매,배추,여름(고랭지)(1kg),"2,200"
783,2023-08-14,북부도매,배추,여름(고랭지)(1kg),"1,900"
784,2023-08-16,북부도매,배추,여름(고랭지)(1kg),"1,700"
785,2023-08-17,북부도매,배추,여름(고랭지)(1kg),"1,600"
786,2023-08-18,북부도매,배추,여름(고랭지)(1kg),"1,560"
787,2023-08-21,북부도매,배추,여름(고랭지)(1kg),"1,560"
788,2023-08-22,북부도매,배추,여름(고랭지)(1kg),"1,560"
789,2023-08-23,북부도매,배추,여름(고랭지)(1kg),"1,560"
790,2023-08-24,북부도매,배추,여름(고랭지)(1kg),"1,560"
791,2023-08-25,북부도매,배추,여름(고랭지)(1kg),"1,500"
792,2023-08-28,북부도매,배추,여름(고랭지)(1kg),"1,500"
793,2023-08-29,북부도매,배추,여름(고랭지)(1kg),"1,500"
794,2023-08-30,북부도매,배추,여름(고랭지)(1kg),"1,500"
795,2023-08-31,북부도매,배추,여름(고랭지)(1kg),"1,500"
796,2023-09-01,북부도매,배추,여름(고랭지)(1kg),"1,500"
797,2023-09-04,북부도매,배추,여름(고랭지)(1kg),"1,460"
798,2023-09-05,북부도매,배추,여름(고랭지)(1kg),"1,400"
799,2023-09-06,북부도매,배추,여름(고랭지)(1kg),"1,400"
800,2023-09-07,북부도매,배추,여름(고랭지)(1kg),"1,400"
801,2023-09-08,북부도매,배추,여름(고랭지)(1kg),"1,400"
802,2023-09-11,북부도매,배추,여름(고랭지)(1kg),"1,500"
803,2023-09-12,북부도매,배추,여름(고랭지)(1kg),"1,500"
804,2023-09-13,북부도매,배추,여름(고랭지)(1kg),"1,500"
805,2023-09-14,북부도매,배추,여름(고랭지)(1kg),"1,500"
806,2023-09-15,북부도매,배추,여름(고랭지)(1kg),"1,560"
807,2023-09-18,북부도매,배추,여름(고랭지)(1kg),"1,800"
808,2023-09-19,북부도매,배추,여름(고랭지)(1kg),"1,800"
809,2023-09-20,북부도매,배추,여름(고랭지)(1kg),"1,800"
810,2023-09-21,북부도매,배추,여름(고랭지)(1kg),"1,800"
811,2023-09-22,북부도매,배추,여름(고랭지)(1kg),"1,800"
812,2023-09-25,북부도매,배추,여름(고랭지)(1kg),"1,900"
813,2023-09-26,북부도매,배추,여름(고랭지)(1kg),"1,900"
814,2023-09-27,북부도매,배추,여름(고랭지)(1kg),"2,000"
815,2023-10-04,북부도매,배추,여름(고랭지)(1kg),"1,800"
816,2023-10-05,북부도매,배추,여름(고랭지)(1kg),"1,800"
817,2023-10-06,북부도매,배추,여름(고랭지)(1kg),"1,800"
818,2023-10-10,북부도매,배추,여름(고랭지)(1kg),"1,700"
819,2023-10-11,북부도매,배추,여름(고랭지)(1kg),"1,600"
820,2023-10-12,북부도매,배추,여름(고랭지)(1kg),"1,500"
821,2023-10-13,북부도매,배추,여름(고랭지)(1kg),"1,500"
822,2023-10-16,북부도매,배추,여름(고랭지)(1kg),"1,500"
823,2023-10-17,북부도매,배추,여름(고랭지)(1kg),"1,500"
824,2023-10-18,북부도매,배추,여름(고랭지)(1kg),"1,400"
825,2023-10-19,북부도매,배추,여름(고랭지)(1kg),"1,400"
826,2023-10-20,북부도매,배추,여름(고랭지)(1kg),"1,400"
827,2023-10-23,북부도매,배추,여름(고랭지)(1kg),"1,400"
828,2023-10-24,북부도매,배추,여름(고랭지)(1kg),"1,300"
1073,2023-10-25,북부도매,배추,가을(1kg),"1,200"
1074,2023-10-26,북부도매,배추,가을(1kg),"1,200"
1075,2023-10-27,북부도매,배추,가을(1kg),"1,200"
1076,2023-10-30,북부도매,배추,가을(1kg),"1,100"
1077,2023-10-31,북부도매,배추,가을(1kg),"1,060"
1078,2023-11-01,북부도매,배추,가을(1kg),"1,030"
