,date,marketname,itemname,kindname,price
387,2023-07-11,북부도매,고등어,생선(1kg),"6,600"
388,2023-07-12,북부도매,고등어,생선(1kg),"6,600"
389,2023-07-13,북부도매,고등어,생선(1kg),"6,460"
390,2023-07-14,북부도매,고등어,생선(1kg),"6,460"
391,2023-07-17,북부도매,고등어,생선(1kg),"6,300"
392,2023-07-18,북부도매,고등어,생선(1kg),"6,100"
393,2023-07-19,북부도매,고등어,생선(1kg),"6,100"
394,2023-07-20,북부도매,고등어,생선(1kg),"6,100"
395,2023-07-21,북부도매,고등어,생선(1kg),"6,100"
396,2023-07-24,북부도매,고등어,생선(1kg),"6,100"
397,2023-07-25,북부도매,고등어,생선(1kg),"5,930"
398,2023-07-26,북부도매,고등어,생선(1kg),"5,930"
399,2023-07-27,북부도매,고등어,생선(1kg),"5,930"
400,2023-07-28,북부도매,고등어,생선(1kg),"5,930"
401,2023-07-31,북부도매,고등어,생선(1kg),"5,930"
402,2023-08-01,북부도매,고등어,생선(1kg),"6,000"
403,2023-08-02,북부도매,고등어,생선(1kg),"6,000"
404,2023-08-03,북부도매,고등어,생선(1kg),"6,000"
405,2023-08-04,북부도매,고등어,생선(1kg),"6,000"
406,2023-08-07,북부도매,고등어,생선(1kg),"6,000"
407,2023-08-08,북부도매,고등어,생선(1kg),"6,000"
408,2023-08-09,북부도매,고등어,생선(1kg),"6,000"
409,2023-08-10,북부도매,고등어,생선(1kg),"6,000"
410,2023-08-11,북부도매,고등어,생선(1kg),"6,000"
411,2023-08-14,북부도매,고등어,생선(1kg),"6,000"
412,2023-08-16,북부도매,고등어,생선(1kg),"6,000"
413,2023-08-17,북부도매,고등어,생선(1kg),"5,800"
414,2023-08-18,북부도매,고등어,생선(1kg),"5,800"
415,2023-08-21,북부도매,고등어,생선(1kg),"5,800"
416,2023-08-22,북부도매,고등어,생선(1kg),"5,800"
417,2023-08-23,북부도매,고등어,생선(1kg),"5,800"
418,2023-08-24,북부도매,고등어,생선(1kg),"5,800"
419,2023-08-25,북부도매,고등어,생선(1kg),"5,730"
420,2023-08-28,북부도매,고등어,생선(1kg),"5,630"
421,2023-08-29,북부도매,고등어,생선(1kg),"5,630"
422,2023-08-30,북부도매,고등어,생선(1kg),"5,630"
423,2023-08-31,북부도매,고등어,생선(1kg),"5,630"
424,2023-09-01,북부도매,고등어,생선(1kg),"5,630"
425,2023-09-04,북부도매,고등어,생선(1kg),"5,630"
426,2023-09-05,북부도매,고등어,생선(1kg),"5,630"
427,2023-09-06,북부도매,고등어,생선(1kg),"5,630"
428,2023-09-07,북부도매,고등어,생선(1kg),"5,560"
429,2023-09-08,북부도매,고등어,생선(1kg),"5,560"
430,2023-09-11,북부도매,고등어,생선(1kg),"5,400"
431,2023-09-12,북부도매,고등어,생선(1kg),"5,430"
432,2023-09-13,북부도매,고등어,생선(1kg),"5,430"
433,2023-09-14,북부도매,고등어,생선(1kg),"5,430"
434,2023-09-15,북부도매,고등어,생선(1kg),"5,430"
435,2023-09-18,북부도매,고등어,생선(1kg),"5,500"
436,2023-09-19,북부도매,고등어,생선(1kg),"5,500"
437,2023-09-20,북부도매,고등어,생선(1kg),"5,200"
438,2023-09-21,북부도매,고등어,생선(1kg),"5,200"
439,2023-09-22,북부도매,고등어,생선(1kg),"5,200"
440,2023-09-25,북부도매,고등어,생선(1kg),"5,200"
441,2023-09-26,북부도매,고등어,생선(1kg),"5,300"
442,2023-09-27,북부도매,고등어,생선(1kg),"5,300"
443,2023-10-04,북부도매,고등어,생선(1kg),"5,300"
444,2023-10-05,북부도매,고등어,생선(1kg),"5,360"
445,2023-10-06,북부도매,고등어,생선(1kg),"5,360"
446,2023-10-10,북부도매,고등어,생선(1kg),"5,600"
447,2023-10-11,북부도매,고등어,생선(1kg),"5,600"
448,2023-10-12,북부도매,고등어,생선(1kg),"5,600"
449,2023-10-13,북부도매,고등어,생선(1kg),"5,600"
450,2023-10-16,북부도매,고등어,생선(1kg),"5,600"
451,2023-10-17,북부도매,고등어,생선(1kg),"5,600"
452,2023-10-18,북부도매,고등어,생선(1kg),"5,600"
453,2023-10-19,북부도매,고등어,생선(1kg),"5,600"
454,2023-10-20,북부도매,고등어,생선(1kg),"5,600"
455,2023-10-23,북부도매,고등어,생선(1kg),"5,700"
456,2023-10-24,북부도매,고등어,생선(1kg),"5,530"
457,2023-10-25,북부도매,고등어,생선(1kg),"5,530"
458,2023-10-26,북부도매,고등어,생선(1kg),"5,530"
459,2023-10-27,북부도매,고등어,생선(1kg),"5,530"
460,2023-10-30,북부도매,고등어,생선(1kg),"5,530"
461,2023-10-31,북부도매,고등어,생선(1kg),"5,530"
462,2023-11-01,북부도매,고등어,생선(1kg),"5,530"
463,2023-11-02,북부도매,고등어,생선(1kg),"5,530"
464,2023-11-03,북부도매,고등어,생선(1kg),"5,530"
465,2023-11-06,북부도매,고등어,생선(1kg),"5,530"
466,2023-11-07,북부도매,고등어,생선(1kg),"5,630"
467,2023-11-08,북부도매,고등어,생선(1kg),"5,730"
468,2023-11-09,북부도매,고등어,생선(1kg),"5,730"
469,2023-11-10,북부도매,고등어,생선(1kg),"5,830"
470,2023-11-13,북부도매,고등어,생선(1kg),"5,830"
471,2023-11-14,북부도매,고등어,생선(1kg),"5,830"
472,2023-11-15,북부도매,고등어,생선(1kg),"5,900"
473,2023-11-16,북부도매,고등어,생선(1kg),"5,900"
474,2023-11-17,북부도매,고등어,생선(1kg),"5,900"
475,2023-11-20,북부도매,고등어,생선(1kg),"5,930"
476,2023-11-21,북부도매,고등어,생선(1kg),"5,930"
477,2023-11-22,북부도매,고등어,생선(1kg),"5,930"
478,2023-11-23,북부도매,고등어,생선(1kg),"5,930"
479,2023-11-24,북부도매,고등어,생선(1kg),"5,930"
480,2023-11-27,북부도매,고등어,생선(1kg),"6,000"
481,2023-11-28,북부도매,고등어,생선(1kg),"6,000"
482,2023-11-29,북부도매,고등어,생선(1kg),"6,000"
483,2023-11-30,북부도매,고등어,생선(1kg),"6,000"
484,2023-12-04,북부도매,고등어,생선(1kg),"6,000"
485,2023-12-05,북부도매,고등어,생선(1kg),"6,260"
486,2023-12-06,북부도매,고등어,생선(1kg),"6,260"
487,2023-12-07,북부도매,고등어,생선(1kg),"6,260"
488,2023-12-08,북부도매,고등어,생선(1kg),"6,330"
489,2023-12-11,북부도매,고등어,생선(1kg),"6,330"
490,2023-12-12,북부도매,고등어,생선(1kg),"6,360"
491,2023-12-13,북부도매,고등어,생선(1kg),"6,430"
492,2023-12-14,북부도매,고등어,생선(1kg),"6,430"
493,2023-12-15,북부도매,고등어,생선(1kg),"6,460"
494,2023-12-18,북부도매,고등어,생선(1kg),"6,460"
495,2023-12-19,북부도매,고등어,생선(1kg),"6,460"
496,2023-12-20,북부도매,고등어,생선(1kg),"6,500"
497,2023-12-21,북부도매,고등어,생선(1kg),"6,500"
498,2023-12-22,북부도매,고등어,생선(1kg),"6,500"
499,2023-12-26,북부도매,고등어,생선(1kg),"6,900"
500,2023-12-27,북부도매,고등어,생선(1kg),"7,030"
501,2023-12-28,북부도매,고등어,생선(1kg),"7,030"
502,2023-12-29,북부도매,고등어,생선(1kg),"7,030"
503,2024-01-02,북부도매,고등어,생선(1kg),"7,030"
504,2024-01-03,북부도매,고등어,생선(1kg),"7,030"
505,2024-01-04,북부도매,고등어,생선(1kg),"7,110"
506,2024-01-05,북부도매,고등어,생선(1kg),"7,110"
507,2024-01-08,북부도매,고등어,생선(1kg),"7,110"
508,2024-01-09,북부도매,고등어,생선(1kg),"7,050"
509,2024-01-10,북부도매,고등어,생선(1kg),"7,050"
510,2024-01-11,북부도매,고등어,생선(1kg),"7,110"
511,2024-01-12,북부도매,고등어,생선(1kg),"7,110"
512,2024-01-15,북부도매,고등어,생선(1kg),"7,080"
513,2024-01-16,북부도매,고등어,생선(1kg),"7,080"
514,2024-01-17,북부도매,고등어,생선(1kg),"7,080"
515,2024-01-18,북부도매,고등어,생선(1kg),"7,000"
516,2024-01-19,북부도매,고등어,생선(1kg),"6,930"
517,2024-01-22,북부도매,고등어,생선(1kg),"6,930"
518,2024-01-23,북부도매,고등어,생선(1kg),"6,960"
519,2024-01-24,북부도매,고등어,생선(1kg),"6,960"
520,2024-01-25,북부도매,고등어,생선(1kg),"6,960"
521,2024-01-26,북부도매,고등어,생선(1kg),"6,960"
522,2024-01-29,북부도매,고등어,생선(1kg),"6,960"
523,2024-01-30,북부도매,고등어,생선(1kg),"6,960"
524,2024-01-31,북부도매,고등어,생선(1kg),"6,960"
525,2024-02-01,북부도매,고등어,생선(1kg),"6,960"
526,2024-02-02,북부도매,고등어,생선(1kg),"6,960"
527,2024-02-05,북부도매,고등어,생선(1kg),"6,900"
528,2024-02-06,북부도매,고등어,생선(1kg),"6,900"
529,2024-02-07,북부도매,고등어,생선(1kg),"6,900"
530,2024-02-08,북부도매,고등어,생선(1kg),"6,900"
531,2024-02-13,북부도매,고등어,생선(1kg),"6,900"
532,2024-02-14,북부도매,고등어,생선(1kg),"6,900"
533,2024-02-15,북부도매,고등어,생선(1kg),"6,800"
534,2024-02-16,북부도매,고등어,생선(1kg),"6,800"
535,2024-02-19,북부도매,고등어,생선(1kg),"6,760"
536,2024-02-20,북부도매,고등어,생선(1kg),"6,630"
537,2024-02-21,북부도매,고등어,생선(1kg),"6,630"
538,2024-02-22,북부도매,고등어,생선(1kg),"6,630"
539,2024-02-23,북부도매,고등어,생선(1kg),"6,630"
540,2024-02-26,북부도매,고등어,생선(1kg),"6,630"
541,2024-02-27,북부도매,고등어,생선(1kg),"6,630"
542,2024-02-28,북부도매,고등어,생선(1kg),"6,630"
543,2024-02-29,북부도매,고등어,생선(1kg),"6,630"
544,2024-03-04,북부도매,고등어,생선(1kg),"6,630"
545,2024-03-05,북부도매,고등어,생선(1kg),"6,660"
546,2024-03-06,북부도매,고등어,생선(1kg),"6,900"
547,2024-03-07,북부도매,고등어,생선(1kg),"6,900"
548,2024-03-08,북부도매,고등어,생선(1kg),"7,030"
549,2024-03-11,북부도매,고등어,생선(1kg),"7,030"
550,2024-03-12,북부도매,고등어,생선(1kg),"7,030"
