,date,marketname,itemname,kindname,price
731,2023-06-02,,돼지,앞다리(100g),"1,334"
732,2023-06-03,,돼지,앞다리(100g),"1,334"
733,2023-06-04,,돼지,앞다리(100g),"1,334"
734,2023-06-05,,돼지,앞다리(100g),"1,334"
735,2023-06-06,,돼지,앞다리(100g),"1,334"
736,2023-06-07,,돼지,앞다리(100g),"1,456"
737,2023-06-08,,돼지,앞다리(100g),"1,456"
738,2023-06-09,,돼지,앞다리(100g),"1,423"
739,2023-06-10,,돼지,앞다리(100g),"1,427"
740,2023-06-11,,돼지,앞다리(100g),"1,421"
741,2023-06-12,,돼지,앞다리(100g),"1,424"
742,2023-06-13,,돼지,앞다리(100g),"1,424"
743,2023-06-14,,돼지,앞다리(100g),"1,424"
744,2023-06-15,,돼지,앞다리(100g),"1,427"
745,2023-06-16,,돼지,앞다리(100g),"1,320"
746,2023-06-17,,돼지,앞다리(100g),"1,329"
747,2023-06-18,,돼지,앞다리(100g),"1,329"
748,2023-06-19,,돼지,앞다리(100g),"1,324"
749,2023-06-20,,돼지,앞다리(100g),"1,324"
750,2023-06-21,,돼지,앞다리(100g),"1,324"
751,2023-06-22,,돼지,앞다리(100g),"1,323"
752,2023-06-23,,돼지,앞다리(100g),"1,323"
753,2023-06-24,,돼지,앞다리(100g),"1,323"
754,2023-06-25,,돼지,앞다리(100g),"1,323"
755,2023-06-26,,돼지,앞다리(100g),"1,416"
756,2023-06-27,,돼지,앞다리(100g),"1,416"
757,2023-06-28,,돼지,앞다리(100g),"1,442"
758,2023-06-29,,돼지,앞다리(100g),"1,447"
759,2023-06-30,,돼지,앞다리(100g),"1,440"
760,2023-07-01,,돼지,앞다리(100g),"1,440"
761,2023-07-02,,돼지,앞다리(100g),"1,440"
762,2023-07-03,,돼지,앞다리(100g),"1,440"
763,2023-07-04,,돼지,앞다리(100g),"1,440"
764,2023-07-05,,돼지,앞다리(100g),"1,440"
765,2023-07-06,,돼지,앞다리(100g),"1,435"
766,2023-07-07,,돼지,앞다리(100g),"1,435"
767,2023-07-08,,돼지,앞다리(100g),"1,435"
768,2023-07-09,,돼지,앞다리(100g),"1,435"
769,2023-07-10,,돼지,앞다리(100g),"1,437"
770,2023-07-11,,돼지,앞다리(100g),"1,437"
771,2023-07-12,,돼지,앞다리(100g),"1,440"
772,2023-07-13,,돼지,앞다리(100g),"1,439"
773,2023-07-14,,돼지,앞다리(100g),"1,438"
774,2023-07-15,,돼지,앞다리(100g),"1,438"
775,2023-07-16,,돼지,앞다리(100g),"1,438"
776,2023-07-17,,돼지,앞다리(100g),"1,418"
777,2023-07-18,,돼지,앞다리(100g),"1,392"
778,2023-07-19,,돼지,앞다리(100g),"1,393"
779,2023-07-20,,돼지,앞다리(100g),"1,393"
780,2023-07-21,,돼지,앞다리(100g),"1,390"
781,2023-07-22,,돼지,앞다리(100g),"1,390"
782,2023-07-23,,돼지,앞다리(100g),"1,386"
783,2023-07-24,,돼지,앞다리(100g),"1,401"
784,2023-07-25,,돼지,앞다리(100g),"1,401"
785,2023-07-26,,돼지,앞다리(100g),"1,400"
786,2023-07-27,,돼지,앞다리(100g),"1,400"
787,2023-07-28,,돼지,앞다리(100g),"1,395"
788,2023-07-29,,돼지,앞다리(100g),"1,395"
789,2023-07-30,,돼지,앞다리(100g),"1,399"
790,2023-07-31,,돼지,앞다리(100g),"1,400"
791,2023-08-01,,돼지,앞다리(100g),"1,399"
792,2023-08-02,,돼지,앞다리(100g),"1,404"
793,2023-08-03,,돼지,앞다리(100g),"1,393"
794,2023-08-04,,돼지,앞다리(100g),"1,391"
795,2023-08-05,,돼지,앞다리(100g),"1,391"
796,2023-08-06,,돼지,앞다리(100g),"1,391"
797,2023-08-07,,돼지,앞다리(100g),"1,399"
798,2023-08-08,,돼지,앞다리(100g),"1,402"
799,2023-08-09,,돼지,앞다리(100g),"1,406"
800,2023-08-10,,돼지,앞다리(100g),"1,398"
801,2023-08-11,,돼지,앞다리(100g),"1,398"
802,2023-08-12,,돼지,앞다리(100g),"1,398"
803,2023-08-13,,돼지,앞다리(100g),"1,394"
804,2023-08-14,,돼지,앞다리(100g),"1,398"
805,2023-08-15,,돼지,앞다리(100g),"1,398"
806,2023-08-16,,돼지,앞다리(100g),"1,399"
807,2023-08-17,,돼지,앞다리(100g),"1,397"
808,2023-08-18,,돼지,앞다리(100g),"1,356"
809,2023-08-19,,돼지,앞다리(100g),"1,356"
810,2023-08-20,,돼지,앞다리(100g),"1,356"
811,2023-08-21,,돼지,앞다리(100g),"1,356"
812,2023-08-22,,돼지,앞다리(100g),"1,361"
813,2023-08-23,,돼지,앞다리(100g),"1,361"
814,2023-08-24,,돼지,앞다리(100g),"1,360"
815,2023-08-25,,돼지,앞다리(100g),"1,407"
816,2023-08-26,,돼지,앞다리(100g),"1,409"
817,2023-08-27,,돼지,앞다리(100g),"1,409"
818,2023-08-28,,돼지,앞다리(100g),"1,413"
819,2023-08-29,,돼지,앞다리(100g),"1,411"
820,2023-08-30,,돼지,앞다리(100g),"1,416"
821,2023-08-31,,돼지,앞다리(100g),"1,424"
822,2023-09-01,,돼지,앞다리(100g),"1,452"
823,2023-09-02,,돼지,앞다리(100g),"1,452"
824,2023-09-03,,돼지,앞다리(100g),"1,452"
825,2023-09-04,,돼지,앞다리(100g),"1,454"
826,2023-09-05,,돼지,앞다리(100g),"1,454"
827,2023-09-06,,돼지,앞다리(100g),"1,453"
828,2023-09-07,,돼지,앞다리(100g),"1,449"
