,date,marketname,itemname,kindname,price
487,2023-06-02,서문,쌀,20kg(1kg),"2,375"
488,2023-06-05,서문,쌀,20kg(1kg),"2,385"
489,2023-06-07,서문,쌀,20kg(1kg),"2,385"
490,2023-06-08,서문,쌀,20kg(1kg),"2,385"
491,2023-06-09,서문,쌀,20kg(1kg),"2,385"
492,2023-06-12,서문,쌀,20kg(1kg),"2,385"
493,2023-06-13,서문,쌀,20kg(1kg),"2,385"
494,2023-06-14,서문,쌀,20kg(1kg),"2,385"
495,2023-06-15,서문,쌀,20kg(1kg),"2,385"
496,2023-06-16,서문,쌀,20kg(1kg),"2,385"
497,2023-06-19,서문,쌀,20kg(1kg),"2,385"
498,2023-06-20,서문,쌀,20kg(1kg),"2,400"
499,2023-06-21,서문,쌀,20kg(1kg),"2,400"
500,2023-06-22,서문,쌀,20kg(1kg),"2,400"
501,2023-06-23,서문,쌀,20kg(1kg),"2,400"
502,2023-06-26,서문,쌀,20kg(1kg),"2,400"
503,2023-06-27,서문,쌀,20kg(1kg),"2,400"
504,2023-06-28,서문,쌀,20kg(1kg),"2,400"
505,2023-06-29,서문,쌀,20kg(1kg),"2,400"
506,2023-06-30,서문,쌀,20kg(1kg),"2,400"
507,2023-07-03,서문,쌀,20kg(1kg),"2,400"
508,2023-07-04,서문,쌀,20kg(1kg),"2,400"
509,2023-07-05,서문,쌀,20kg(1kg),"2,400"
510,2023-07-06,서문,쌀,20kg(1kg),"2,400"
511,2023-07-07,서문,쌀,20kg(1kg),"2,400"
512,2023-07-10,서문,쌀,20kg(1kg),"2,400"
513,2023-07-11,서문,쌀,20kg(1kg),"2,400"
514,2023-07-12,서문,쌀,20kg(1kg),"2,400"
515,2023-07-13,서문,쌀,20kg(1kg),"2,400"
516,2023-07-14,서문,쌀,20kg(1kg),"2,400"
517,2023-07-17,서문,쌀,20kg(1kg),"2,400"
518,2023-07-18,서문,쌀,20kg(1kg),"2,400"
519,2023-07-19,서문,쌀,20kg(1kg),"2,400"
520,2023-07-20,서문,쌀,20kg(1kg),"2,400"
521,2023-07-21,서문,쌀,20kg(1kg),"2,400"
522,2023-07-24,서문,쌀,20kg(1kg),"2,425"
523,2023-07-25,서문,쌀,20kg(1kg),"2,425"
524,2023-07-26,서문,쌀,20kg(1kg),"2,425"
525,2023-07-27,서문,쌀,20kg(1kg),"2,425"
526,2023-07-28,서문,쌀,20kg(1kg),"2,425"
527,2023-07-31,서문,쌀,20kg(1kg),"2,425"
528,2023-08-01,서문,쌀,20kg(1kg),"2,425"
529,2023-08-02,서문,쌀,20kg(1kg),"2,425"
530,2023-08-03,서문,쌀,20kg(1kg),"2,425"
531,2023-08-04,서문,쌀,20kg(1kg),"2,425"
532,2023-08-07,서문,쌀,20kg(1kg),"2,425"
533,2023-08-08,서문,쌀,20kg(1kg),"2,425"
534,2023-08-09,서문,쌀,20kg(1kg),"2,425"
535,2023-08-10,서문,쌀,20kg(1kg),"2,425"
536,2023-08-11,서문,쌀,20kg(1kg),"2,425"
537,2023-08-14,서문,쌀,20kg(1kg),"2,425"
538,2023-08-16,서문,쌀,20kg(1kg),"2,425"
539,2023-08-17,서문,쌀,20kg(1kg),"2,425"
540,2023-08-18,서문,쌀,20kg(1kg),"2,425"
541,2023-08-21,서문,쌀,20kg(1kg),"2,425"
542,2023-08-22,서문,쌀,20kg(1kg),"2,425"
543,2023-08-23,서문,쌀,20kg(1kg),"2,425"
544,2023-08-24,서문,쌀,20kg(1kg),"2,425"
545,2023-08-25,서문,쌀,20kg(1kg),"2,460"
546,2023-08-28,서문,쌀,20kg(1kg),"2,460"
547,2023-08-29,서문,쌀,20kg(1kg),"2,485"
548,2023-08-30,서문,쌀,20kg(1kg),"2,485"
549,2023-08-31,서문,쌀,20kg(1kg),"2,485"
550,2023-09-01,서문,쌀,20kg(1kg),"2,485"
551,2023-09-04,서문,쌀,20kg(1kg),"2,485"
552,2023-09-05,서문,쌀,20kg(1kg),"2,485"
553,2023-09-06,서문,쌀,20kg(1kg),"2,485"
554,2023-09-07,서문,쌀,20kg(1kg),"2,485"
555,2023-09-08,서문,쌀,20kg(1kg),"2,485"
556,2023-09-11,서문,쌀,20kg(1kg),"2,485"
557,2023-09-12,서문,쌀,20kg(1kg),"2,500"
558,2023-09-13,서문,쌀,20kg(1kg),"2,500"
559,2023-09-14,서문,쌀,20kg(1kg),"2,500"
