,date,marketname,itemname,kindname,price
409,2023-06-02,가락도매,사과,후지(1kg),"5,500"
410,2023-06-05,가락도매,사과,후지(1kg),"6,000"
411,2023-06-07,가락도매,사과,후지(1kg),"6,200"
412,2023-06-08,가락도매,사과,후지(1kg),"6,200"
413,2023-06-09,가락도매,사과,후지(1kg),"6,200"
414,2023-06-12,가락도매,사과,후지(1kg),"6,500"
415,2023-06-13,가락도매,사과,후지(1kg),"6,500"
416,2023-06-14,가락도매,사과,후지(1kg),"6,500"
417,2023-06-15,가락도매,사과,후지(1kg),"6,500"
418,2023-06-16,가락도매,사과,후지(1kg),"6,500"
419,2023-06-19,가락도매,사과,후지(1kg),"6,500"
420,2023-06-20,가락도매,사과,후지(1kg),"6,500"
421,2023-06-21,가락도매,사과,후지(1kg),"6,760"
422,2023-06-22,가락도매,사과,후지(1kg),"6,920"
423,2023-06-23,가락도매,사과,후지(1kg),"7,000"
424,2023-06-26,가락도매,사과,후지(1kg),"7,000"
425,2023-06-27,가락도매,사과,후지(1kg),"7,000"
426,2023-06-28,가락도매,사과,후지(1kg),"7,000"
427,2023-06-29,가락도매,사과,후지(1kg),"7,000"
428,2023-06-30,가락도매,사과,후지(1kg),"7,000"
429,2023-07-03,가락도매,사과,후지(1kg),"7,500"
430,2023-07-04,가락도매,사과,후지(1kg),"7,040"
431,2023-07-05,가락도매,사과,후지(1kg),"7,040"
432,2023-07-06,가락도매,사과,후지(1kg),"7,040"
433,2023-07-07,가락도매,사과,후지(1kg),"7,000"
434,2023-07-10,가락도매,사과,후지(1kg),"8,000"
435,2023-07-11,가락도매,사과,후지(1kg),"8,200"
436,2023-07-12,가락도매,사과,후지(1kg),"8,200"
437,2023-07-13,가락도매,사과,후지(1kg),"8,200"
438,2023-07-14,가락도매,사과,후지(1kg),"8,200"
439,2023-07-17,가락도매,사과,후지(1kg),"8,600"
440,2023-07-18,가락도매,사과,후지(1kg),"8,600"
441,2023-07-19,가락도매,사과,후지(1kg),"8,600"
442,2023-07-20,가락도매,사과,후지(1kg),"8,600"
443,2023-07-21,가락도매,사과,후지(1kg),"8,600"
444,2023-07-24,가락도매,사과,후지(1kg),"8,600"
445,2023-07-25,가락도매,사과,후지(1kg),"8,600"
446,2023-07-26,가락도매,사과,후지(1kg),"8,600"
447,2023-07-27,가락도매,사과,후지(1kg),"8,600"
448,2023-07-28,가락도매,사과,후지(1kg),"8,860"
449,2023-07-31,가락도매,사과,후지(1kg),"8,920"
450,2023-08-01,가락도매,사과,후지(1kg),"8,920"
451,2023-08-02,가락도매,사과,후지(1kg),"8,920"
452,2023-08-03,가락도매,사과,후지(1kg),"8,920"
453,2023-08-04,가락도매,사과,후지(1kg),"8,920"
454,2023-08-07,가락도매,사과,후지(1kg),"8,920"
455,2023-08-08,가락도매,사과,후지(1kg),"8,920"
456,2023-10-12,가락도매,사과,후지(1kg),"7,160"
457,2023-10-13,가락도매,사과,후지(1kg),"7,600"
458,2023-10-16,가락도매,사과,후지(1kg),"7,580"
459,2023-10-17,가락도매,사과,후지(1kg),"7,580"
460,2023-10-18,가락도매,사과,후지(1kg),"7,300"
461,2023-10-19,가락도매,사과,후지(1kg),"7,300"
462,2023-10-20,가락도매,사과,후지(1kg),"7,220"
463,2023-10-23,가락도매,사과,후지(1kg),"7,220"
464,2023-10-24,가락도매,사과,후지(1kg),"7,220"
465,2023-10-25,가락도매,사과,후지(1kg),"7,220"
466,2023-10-26,가락도매,사과,후지(1kg),"7,560"
467,2023-10-27,가락도매,사과,후지(1kg),"7,060"
468,2023-10-30,가락도매,사과,후지(1kg),"7,060"
469,2023-10-31,가락도매,사과,후지(1kg),"7,060"
470,2023-11-01,가락도매,사과,후지(1kg),"6,900"
471,2023-11-02,가락도매,사과,후지(1kg),"6,900"
472,2023-11-03,가락도매,사과,후지(1kg),"6,900"
473,2023-11-06,가락도매,사과,후지(1kg),"6,800"
474,2023-11-07,가락도매,사과,후지(1kg),"6,800"
475,2023-11-08,가락도매,사과,후지(1kg),"7,080"
476,2023-11-09,가락도매,사과,후지(1kg),"7,080"
477,2023-11-10,가락도매,사과,후지(1kg),"6,940"
478,2023-11-13,가락도매,사과,후지(1kg),"7,100"
479,2023-11-14,가락도매,사과,후지(1kg),"7,100"
480,2023-11-15,가락도매,사과,후지(1kg),"7,300"
481,2023-11-16,가락도매,사과,후지(1kg),"7,160"
482,2023-11-17,가락도매,사과,후지(1kg),"7,160"
483,2023-11-20,가락도매,사과,후지(1kg),"7,880"
484,2023-11-21,가락도매,사과,후지(1kg),"8,100"
485,2023-11-22,가락도매,사과,후지(1kg),"8,360"
486,2023-11-23,가락도매,사과,후지(1kg),"8,360"
487,2023-11-24,가락도매,사과,후지(1kg),"8,360"
488,2023-11-27,가락도매,사과,후지(1kg),"8,360"
489,2023-11-28,가락도매,사과,후지(1kg),"8,360"
490,2023-11-29,가락도매,사과,후지(1kg),"8,580"
491,2023-11-30,가락도매,사과,후지(1kg),"9,120"
492,2023-12-04,가락도매,사과,후지(1kg),"9,120"
493,2023-12-05,가락도매,사과,후지(1kg),"9,120"
494,2023-12-06,가락도매,사과,후지(1kg),"9,120"
495,2023-12-07,가락도매,사과,후지(1kg),"9,120"
496,2023-12-08,가락도매,사과,후지(1kg),"9,080"
497,2023-12-11,가락도매,사과,후지(1kg),"9,080"
498,2023-12-12,가락도매,사과,후지(1kg),"9,220"
499,2023-12-13,가락도매,사과,후지(1kg),"9,480"
500,2023-12-14,가락도매,사과,후지(1kg),"9,160"
501,2023-12-15,가락도매,사과,후지(1kg),"9,160"
502,2023-12-18,가락도매,사과,후지(1kg),"9,160"
503,2023-12-19,가락도매,사과,후지(1kg),"9,160"
504,2023-12-20,가락도매,사과,후지(1kg),"9,160"
505,2023-12-21,가락도매,사과,후지(1kg),"9,160"
506,2023-12-22,가락도매,사과,후지(1kg),"9,160"
507,2023-12-26,가락도매,사과,후지(1kg),"9,160"
508,2023-12-27,가락도매,사과,후지(1kg),"9,160"
509,2023-12-28,가락도매,사과,후지(1kg),"9,140"
510,2023-12-29,가락도매,사과,후지(1kg),"9,140"
511,2024-01-02,가락도매,사과,후지(1kg),"9,140"
512,2024-01-03,가락도매,사과,후지(1kg),"9,140"
513,2024-01-04,가락도매,사과,후지(1kg),"9,140"
514,2024-01-05,가락도매,사과,후지(1kg),"9,140"
515,2024-01-08,가락도매,사과,후지(1kg),"9,140"
516,2024-01-09,가락도매,사과,후지(1kg),"9,140"
517,2024-01-10,가락도매,사과,후지(1kg),"9,340"
