,date,marketname,itemname,kindname,price
489,2023-06-02,가락도매,배추,봄(1kg),"1,100"
490,2023-06-05,가락도매,배추,봄(1kg),980
491,2023-06-07,가락도매,배추,봄(1kg),"1,040"
492,2023-06-08,가락도매,배추,봄(1kg),"1,100"
493,2023-06-09,가락도매,배추,봄(1kg),"1,080"
494,2023-06-12,가락도매,배추,봄(1kg),"1,020"
495,2023-06-13,가락도매,배추,봄(1kg),"1,040"
496,2023-06-14,가락도매,배추,봄(1kg),920
497,2023-06-15,가락도매,배추,봄(1kg),"1,120"
498,2023-06-16,가락도매,배추,봄(1kg),"1,140"
499,2023-06-19,가락도매,배추,봄(1kg),"1,020"
500,2023-06-20,가락도매,배추,봄(1kg),"1,000"
501,2023-06-21,가락도매,배추,봄(1kg),"1,120"
502,2023-06-22,가락도매,배추,봄(1kg),"1,100"
503,2023-06-23,가락도매,배추,봄(1kg),"1,020"
504,2023-06-26,가락도매,배추,봄(1kg),"1,100"
505,2023-06-27,가락도매,배추,봄(1kg),"1,220"
506,2023-06-28,가락도매,배추,봄(1kg),"1,220"
507,2023-06-29,가락도매,배추,봄(1kg),"1,080"
508,2023-06-30,가락도매,배추,봄(1kg),"1,120"
509,2023-07-03,가락도매,배추,봄(1kg),980
510,2023-07-04,가락도매,배추,봄(1kg),940
511,2023-07-05,가락도매,배추,봄(1kg),920
512,2023-07-06,가락도매,배추,봄(1kg),900
513,2023-07-07,가락도매,배추,봄(1kg),780
514,2023-07-10,가락도매,배추,봄(1kg),"1,080"
515,2023-07-11,가락도매,배추,봄(1kg),"1,060"
516,2023-07-12,가락도매,배추,봄(1kg),980
517,2023-07-13,가락도매,배추,봄(1kg),"1,040"
518,2023-07-14,가락도매,배추,봄(1kg),"1,140"
763,2023-07-17,가락도매,배추,여름(고랭지)(1kg),"1,080"
764,2023-07-18,가락도매,배추,여름(고랭지)(1kg),940
765,2023-07-19,가락도매,배추,여름(고랭지)(1kg),"1,360"
766,2023-07-20,가락도매,배추,여름(고랭지)(1kg),"1,000"
767,2023-07-21,가락도매,배추,여름(고랭지)(1kg),"1,080"
768,2023-07-24,가락도매,배추,여름(고랭지)(1kg),"1,260"
769,2023-07-25,가락도매,배추,여름(고랭지)(1kg),"1,080"
770,2023-07-26,가락도매,배추,여름(고랭지)(1kg),"1,140"
771,2023-07-27,가락도매,배추,여름(고랭지)(1kg),"1,200"
772,2023-07-28,가락도매,배추,여름(고랭지)(1kg),"1,400"
773,2023-07-31,가락도매,배추,여름(고랭지)(1kg),"1,680"
774,2023-08-01,가락도매,배추,여름(고랭지)(1kg),"1,960"
775,2023-08-02,가락도매,배추,여름(고랭지)(1kg),"2,140"
776,2023-08-03,가락도매,배추,여름(고랭지)(1kg),"2,160"
777,2023-08-04,가락도매,배추,여름(고랭지)(1kg),"2,320"
778,2023-08-07,가락도매,배추,여름(고랭지)(1kg),"2,360"
779,2023-08-08,가락도매,배추,여름(고랭지)(1kg),"2,340"
780,2023-08-09,가락도매,배추,여름(고랭지)(1kg),"2,720"
781,2023-08-10,가락도매,배추,여름(고랭지)(1kg),"3,280"
782,2023-08-11,가락도매,배추,여름(고랭지)(1kg),"3,560"
783,2023-08-14,가락도매,배추,여름(고랭지)(1kg),"1,900"
784,2023-08-16,가락도매,배추,여름(고랭지)(1kg),"1,880"
785,2023-08-17,가락도매,배추,여름(고랭지)(1kg),"1,800"
786,2023-08-18,가락도매,배추,여름(고랭지)(1kg),"2,180"
787,2023-08-21,가락도매,배추,여름(고랭지)(1kg),"2,140"
788,2023-08-22,가락도매,배추,여름(고랭지)(1kg),"2,120"
789,2023-08-23,가락도매,배추,여름(고랭지)(1kg),"1,980"
790,2023-08-24,가락도매,배추,여름(고랭지)(1kg),"1,860"
791,2023-08-25,가락도매,배추,여름(고랭지)(1kg),"1,980"
792,2023-08-28,가락도매,배추,여름(고랭지)(1kg),"1,680"
793,2023-08-29,가락도매,배추,여름(고랭지)(1kg),"1,720"
794,2023-08-30,가락도매,배추,여름(고랭지)(1kg),"1,680"
795,2023-08-31,가락도매,배추,여름(고랭지)(1kg),"1,620"
796,2023-09-01,가락도매,배추,여름(고랭지)(1kg),"1,540"
797,2023-09-04,가락도매,배추,여름(고랭지)(1kg),"1,800"
798,2023-09-05,가락도매,배추,여름(고랭지)(1kg),"1,860"
799,2023-09-06,가락도매,배추,여름(고랭지)(1kg),"1,880"
800,2023-09-07,가락도매,배추,여름(고랭지)(1kg),"1,800"
801,2023-09-08,가락도매,배추,여름(고랭지)(1kg),"1,660"
802,2023-09-11,가락도매,배추,여름(고랭지)(1kg),"1,840"
803,2023-09-12,가락도매,배추,여름(고랭지)(1kg),"1,840"
804,2023-09-13,가락도매,배추,여름(고랭지)(1kg),"1,900"
805,2023-09-14,가락도매,배추,여름(고랭지)(1kg),"1,840"
806,2023-09-15,가락도매,배추,여름(고랭지)(1kg),"2,020"
807,2023-09-18,가락도매,배추,여름(고랭지)(1kg),"2,120"
808,2023-09-19,가락도매,배추,여름(고랭지)(1kg),"2,120"
809,2023-09-20,가락도매,배추,여름(고랭지)(1kg),"2,360"
810,2023-09-21,가락도매,배추,여름(고랭지)(1kg),"2,480"
811,2023-09-22,가락도매,배추,여름(고랭지)(1kg),"2,600"
812,2023-09-25,가락도매,배추,여름(고랭지)(1kg),"2,200"
813,2023-09-26,가락도매,배추,여름(고랭지)(1kg),"2,480"
814,2023-09-27,가락도매,배추,여름(고랭지)(1kg),"2,740"
815,2023-10-04,가락도매,배추,여름(고랭지)(1kg),"1,800"
816,2023-10-05,가락도매,배추,여름(고랭지)(1kg),"1,780"
817,2023-10-06,가락도매,배추,여름(고랭지)(1kg),"1,960"
818,2023-10-10,가락도매,배추,여름(고랭지)(1kg),"1,880"
819,2023-10-11,가락도매,배추,여름(고랭지)(1kg),"1,940"
820,2023-10-12,가락도매,배추,여름(고랭지)(1kg),"1,980"
821,2023-10-13,가락도매,배추,여름(고랭지)(1kg),"1,940"
822,2023-10-16,가락도매,배추,여름(고랭지)(1kg),"1,480"
823,2023-10-17,가락도매,배추,여름(고랭지)(1kg),"1,580"
824,2023-10-18,가락도매,배추,여름(고랭지)(1kg),"1,560"
825,2023-10-19,가락도매,배추,여름(고랭지)(1kg),"1,480"
826,2023-10-20,가락도매,배추,여름(고랭지)(1kg),"1,600"
827,2023-10-23,가락도매,배추,여름(고랭지)(1kg),"1,440"
1072,2023-10-24,가락도매,배추,가을(1kg),"1,620"
1073,2023-10-25,가락도매,배추,가을(1kg),"1,480"
1074,2023-10-26,가락도매,배추,가을(1kg),"1,480"
1075,2023-10-27,가락도매,배추,가을(1kg),"1,280"
1076,2023-10-30,가락도매,배추,가을(1kg),"1,300"
1077,2023-10-31,가락도매,배추,가을(1kg),"1,160"
1078,2023-11-01,가락도매,배추,가을(1kg),"1,020"
1079,2023-11-02,가락도매,배추,가을(1kg),980
1080,2023-11-03,가락도매,배추,가을(1kg),960
1081,2023-11-06,가락도매,배추,가을(1kg),900
1082,2023-11-07,가락도매,배추,가을(1kg),960
1083,2023-11-08,가락도매,배추,가을(1kg),880
1084,2023-11-09,가락도매,배추,가을(1kg),840
1085,2023-11-10,가락도매,배추,가을(1kg),840
1086,2023-11-13,가락도매,배추,가을(1kg),740
1087,2023-11-14,가락도매,배추,가을(1kg),940
1088,2023-11-15,가락도매,배추,가을(1kg),940
1089,2023-11-16,가락도매,배추,가을(1kg),840
1090,2023-11-17,가락도매,배추,가을(1kg),"1,100"
1091,2023-11-20,가락도매,배추,가을(1kg),"1,100"
1092,2023-11-21,가락도매,배추,가을(1kg),840
1093,2023-11-22,가락도매,배추,가을(1kg),760
1094,2023-11-23,가락도매,배추,가을(1kg),780
1095,2023-11-24,가락도매,배추,가을(1kg),780
1096,2023-11-27,가락도매,배추,가을(1kg),700
1097,2023-11-28,가락도매,배추,가을(1kg),740
1098,2023-11-29,가락도매,배추,가을(1kg),700
1099,2023-11-30,가락도매,배추,가을(1kg),760
1100,2023-12-04,가락도매,배추,가을(1kg),680
1101,2023-12-05,가락도매,배추,가을(1kg),740
1102,2023-12-06,가락도매,배추,가을(1kg),860
1103,2023-12-07,가락도매,배추,가을(1kg),740
1104,2023-12-08,가락도매,배추,가을(1kg),700
1105,2023-12-11,가락도매,배추,가을(1kg),700
1350,2023-12-12,가락도매,배추,월동(1kg),900
1351,2023-12-13,가락도매,배추,월동(1kg),900
1352,2023-12-14,가락도매,배추,월동(1kg),820
1353,2023-12-15,가락도매,배추,월동(1kg),820
1354,2023-12-18,가락도매,배추,월동(1kg),820
1355,2023-12-19,가락도매,배추,월동(1kg),880
1356,2023-12-20,가락도매,배추,월동(1kg),900
1357,2023-12-21,가락도매,배추,월동(1kg),800
1358,2023-12-22,가락도매,배추,월동(1kg),740
1359,2023-12-26,가락도매,배추,월동(1kg),740
1360,2023-12-27,가락도매,배추,월동(1kg),880
1361,2023-12-28,가락도매,배추,월동(1kg),840
1362,2023-12-29,가락도매,배추,월동(1kg),840
1363,2024-01-02,가락도매,배추,월동(1kg),840
1364,2024-01-03,가락도매,배추,월동(1kg),860
1365,2024-01-04,가락도매,배추,월동(1kg),840
1366,2024-01-05,가락도매,배추,월동(1kg),700
1367,2024-01-08,가락도매,배추,월동(1kg),760
1368,2024-01-09,가락도매,배추,월동(1kg),780
1369,2024-01-10,가락도매,배추,월동(1kg),740
1370,2024-01-11,가락도매,배추,월동(1kg),780
1371,2024-01-12,가락도매,배추,월동(1kg),680
1372,2024-01-15,가락도매,배추,월동(1kg),780
1373,2024-01-16,가락도매,배추,월동(1kg),700
1374,2024-01-17,가락도매,배추,월동(1kg),780
1375,2024-01-18,가락도매,배추,월동(1kg),840
1376,2024-01-19,가락도매,배추,월동(1kg),880
1377,2024-01-22,가락도매,배추,월동(1kg),940
1378,2024-01-23,가락도매,배추,월동(1kg),940
1379,2024-01-24,가락도매,배추,월동(1kg),880
1380,2024-01-25,가락도매,배추,월동(1kg),860
1381,2024-01-26,가락도매,배추,월동(1kg),800
1382,2024-01-29,가락도매,배추,월동(1kg),760
1383,2024-01-30,가락도매,배추,월동(1kg),860
1384,2024-01-31,가락도매,배추,월동(1kg),860
1385,2024-02-01,가락도매,배추,월동(1kg),920
1386,2024-02-02,가락도매,배추,월동(1kg),900
1387,2024-02-05,가락도매,배추,월동(1kg),930
1388,2024-02-06,가락도매,배추,월동(1kg),"1,000"
1389,2024-02-07,가락도매,배추,월동(1kg),"1,000"
1390,2024-02-08,가락도매,배추,월동(1kg),960
1391,2024-02-13,가락도매,배추,월동(1kg),"1,130"
1392,2024-02-14,가락도매,배추,월동(1kg),"1,180"
1393,2024-02-15,가락도매,배추,월동(1kg),"1,190"
1394,2024-02-16,가락도매,배추,월동(1kg),"1,200"
1395,2024-02-19,가락도매,배추,월동(1kg),"1,200"
1396,2024-02-20,가락도매,배추,월동(1kg),"1,200"
1397,2024-02-21,가락도매,배추,월동(1kg),"1,200"
1398,2024-02-22,가락도매,배추,월동(1kg),"1,200"
1399,2024-02-23,가락도매,배추,월동(1kg),"1,240"
1400,2024-02-26,가락도매,배추,월동(1kg),"1,240"
1401,2024-02-27,가락도매,배추,월동(1kg),"1,220"
1402,2024-02-28,가락도매,배추,월동(1kg),"1,240"
1403,2024-02-29,가락도매,배추,월동(1kg),"1,200"
1404,2024-03-04,가락도매,배추,월동(1kg),"1,240"
1405,2024-03-05,가락도매,배추,월동(1kg),"1,320"
1406,2024-03-06,가락도매,배추,월동(1kg),"1,400"
1407,2024-03-07,가락도매,배추,월동(1kg),"1,400"
1408,2024-03-08,가락도매,배추,월동(1kg),"1,400"
1409,2024-03-11,가락도매,배추,월동(1kg),"1,320"
1410,2024-03-12,가락도매,배추,월동(1kg),"1,540"
1411,2024-03-13,가락도매,배추,월동(1kg),"1,340"
1412,2024-03-14,가락도매,배추,월동(1kg),"1,380"
1413,2024-03-15,가락도매,배추,월동(1kg),"1,500"
