,date,marketname,itemname,kindname,price
419,2023-06-15,가락도매,고등어,생선(1kg),"5,160"
420,2023-06-16,가락도매,고등어,생선(1kg),"5,160"
421,2023-06-19,가락도매,고등어,생선(1kg),"6,500"
422,2023-06-22,가락도매,고등어,생선(1kg),"6,330"
423,2023-06-23,가락도매,고등어,생선(1kg),"6,330"
424,2023-06-26,가락도매,고등어,생선(1kg),"6,330"
425,2023-06-27,가락도매,고등어,생선(1kg),"6,000"
426,2023-06-28,가락도매,고등어,생선(1kg),"6,000"
427,2023-06-29,가락도매,고등어,생선(1kg),"6,060"
428,2023-07-03,가락도매,고등어,생선(1kg),"6,930"
429,2023-07-04,가락도매,고등어,생선(1kg),"6,930"
430,2023-07-05,가락도매,고등어,생선(1kg),"6,930"
431,2023-07-06,가락도매,고등어,생선(1kg),"6,930"
432,2023-07-07,가락도매,고등어,생선(1kg),"6,430"
433,2023-07-10,가락도매,고등어,생선(1kg),"6,500"
434,2023-07-11,가락도매,고등어,생선(1kg),"6,660"
435,2023-07-12,가락도매,고등어,생선(1kg),"6,660"
436,2023-07-13,가락도매,고등어,생선(1kg),"6,660"
437,2023-07-14,가락도매,고등어,생선(1kg),"6,660"
438,2023-07-17,가락도매,고등어,생선(1kg),"6,800"
439,2023-07-18,가락도매,고등어,생선(1kg),"5,860"
440,2023-07-19,가락도매,고등어,생선(1kg),"6,500"
441,2023-07-20,가락도매,고등어,생선(1kg),"6,500"
442,2023-07-21,가락도매,고등어,생선(1kg),"6,500"
443,2023-07-24,가락도매,고등어,생선(1kg),"5,000"
444,2023-07-25,가락도매,고등어,생선(1kg),"5,430"
445,2023-07-26,가락도매,고등어,생선(1kg),"6,230"
446,2023-07-27,가락도매,고등어,생선(1kg),"6,230"
447,2023-07-28,가락도매,고등어,생선(1kg),"6,230"
448,2023-07-31,가락도매,고등어,생선(1kg),"6,000"
449,2023-08-01,가락도매,고등어,생선(1kg),"6,160"
450,2023-08-02,가락도매,고등어,생선(1kg),"6,160"
451,2023-08-03,가락도매,고등어,생선(1kg),"6,160"
452,2023-08-04,가락도매,고등어,생선(1kg),"6,160"
453,2023-08-07,가락도매,고등어,생선(1kg),"6,160"
454,2023-08-08,가락도매,고등어,생선(1kg),"8,760"
455,2023-08-17,가락도매,고등어,생선(1kg),"5,500"
456,2023-08-18,가락도매,고등어,생선(1kg),"6,000"
457,2023-08-21,가락도매,고등어,생선(1kg),"5,000"
458,2023-08-22,가락도매,고등어,생선(1kg),"5,000"
459,2023-08-23,가락도매,고등어,생선(1kg),"5,000"
