,date,marketname,itemname,kindname,price
731,2023-06-02,,돼지,앞다리(100g),"1,340"
732,2023-06-03,,돼지,앞다리(100g),"1,340"
733,2023-06-04,,돼지,앞다리(100g),"1,340"
734,2023-06-05,,돼지,앞다리(100g),"1,340"
735,2023-06-06,,돼지,앞다리(100g),"1,330"
736,2023-06-07,,돼지,앞다리(100g),"1,435"
737,2023-06-08,,돼지,앞다리(100g),"1,446"
738,2023-06-09,,돼지,앞다리(100g),"1,397"
739,2023-06-10,,돼지,앞다리(100g),"1,401"
740,2023-06-11,,돼지,앞다리(100g),"1,401"
741,2023-06-12,,돼지,앞다리(100g),"1,402"
742,2023-06-13,,돼지,앞다리(100g),"1,407"
743,2023-06-14,,돼지,앞다리(100g),"1,407"
744,2023-06-15,,돼지,앞다리(100g),"1,407"
745,2023-06-16,,돼지,앞다리(100g),"1,322"
746,2023-06-17,,돼지,앞다리(100g),"1,322"
747,2023-06-18,,돼지,앞다리(100g),"1,322"
748,2023-06-19,,돼지,앞다리(100g),"1,325"
749,2023-06-20,,돼지,앞다리(100g),"1,325"
750,2023-06-21,,돼지,앞다리(100g),"1,325"
751,2023-06-22,,돼지,앞다리(100g),"1,325"
752,2023-06-23,,돼지,앞다리(100g),"1,325"
753,2023-06-24,,돼지,앞다리(100g),"1,325"
754,2023-06-25,,돼지,앞다리(100g),"1,325"
755,2023-06-26,,돼지,앞다리(100g),"1,418"
756,2023-06-27,,돼지,앞다리(100g),"1,418"
757,2023-06-28,,돼지,앞다리(100g),"1,418"
758,2023-06-29,,돼지,앞다리(100g),"1,418"
759,2023-06-30,,돼지,앞다리(100g),"1,426"
760,2023-07-01,,돼지,앞다리(100g),"1,422"
761,2023-07-02,,돼지,앞다리(100g),"1,426"
762,2023-07-03,,돼지,앞다리(100g),"1,426"
763,2023-07-04,,돼지,앞다리(100g),"1,422"
764,2023-07-05,,돼지,앞다리(100g),"1,422"
765,2023-07-06,,돼지,앞다리(100g),"1,422"
766,2023-07-07,,돼지,앞다리(100g),"1,421"
767,2023-07-08,,돼지,앞다리(100g),"1,424"
768,2023-07-09,,돼지,앞다리(100g),"1,424"
769,2023-07-10,,돼지,앞다리(100g),"1,427"
770,2023-07-11,,돼지,앞다리(100g),"1,427"
771,2023-07-12,,돼지,앞다리(100g),"1,429"
772,2023-07-13,,돼지,앞다리(100g),"1,448"
773,2023-07-14,,돼지,앞다리(100g),"1,448"
774,2023-07-15,,돼지,앞다리(100g),"1,448"
775,2023-07-16,,돼지,앞다리(100g),"1,448"
776,2023-07-17,,돼지,앞다리(100g),"1,440"
777,2023-07-18,,돼지,앞다리(100g),"1,440"
778,2023-07-19,,돼지,앞다리(100g),"1,448"
779,2023-07-20,,돼지,앞다리(100g),"1,451"
780,2023-07-21,,돼지,앞다리(100g),"1,440"
781,2023-07-22,,돼지,앞다리(100g),"1,440"
782,2023-07-23,,돼지,앞다리(100g),"1,440"
783,2023-07-24,,돼지,앞다리(100g),"1,429"
784,2023-07-25,,돼지,앞다리(100g),"1,429"
785,2023-07-26,,돼지,앞다리(100g),"1,430"
786,2023-07-27,,돼지,앞다리(100g),"1,430"
787,2023-07-28,,돼지,앞다리(100g),"1,422"
788,2023-07-29,,돼지,앞다리(100g),"1,425"
789,2023-07-30,,돼지,앞다리(100g),"1,425"
790,2023-07-31,,돼지,앞다리(100g),"1,424"
791,2023-08-01,,돼지,앞다리(100g),"1,423"
792,2023-08-02,,돼지,앞다리(100g),"1,423"
793,2023-08-03,,돼지,앞다리(100g),"1,408"
794,2023-08-04,,돼지,앞다리(100g),"1,407"
795,2023-08-05,,돼지,앞다리(100g),"1,407"
796,2023-08-06,,돼지,앞다리(100g),"1,407"
797,2023-08-07,,돼지,앞다리(100g),"1,420"
798,2023-08-08,,돼지,앞다리(100g),"1,421"
799,2023-08-09,,돼지,앞다리(100g),"1,426"
800,2023-08-10,,돼지,앞다리(100g),"1,425"
801,2023-08-11,,돼지,앞다리(100g),"1,425"
802,2023-08-12,,돼지,앞다리(100g),"1,425"
803,2023-08-13,,돼지,앞다리(100g),"1,425"
804,2023-08-14,,돼지,앞다리(100g),"1,436"
805,2023-08-15,,돼지,앞다리(100g),"1,436"
806,2023-08-16,,돼지,앞다리(100g),"1,436"
807,2023-08-17,,돼지,앞다리(100g),"1,432"
808,2023-08-18,,돼지,앞다리(100g),"1,379"
809,2023-08-19,,돼지,앞다리(100g),"1,379"
810,2023-08-20,,돼지,앞다리(100g),"1,381"
811,2023-08-21,,돼지,앞다리(100g),"1,382"
812,2023-08-22,,돼지,앞다리(100g),"1,387"
813,2023-08-23,,돼지,앞다리(100g),"1,382"
814,2023-08-24,,돼지,앞다리(100g),"1,382"
815,2023-08-25,,돼지,앞다리(100g),"1,423"
816,2023-08-26,,돼지,앞다리(100g),"1,423"
817,2023-08-27,,돼지,앞다리(100g),"1,423"
818,2023-08-28,,돼지,앞다리(100g),"1,423"
819,2023-08-29,,돼지,앞다리(100g),"1,423"
820,2023-08-30,,돼지,앞다리(100g),"1,418"
821,2023-08-31,,돼지,앞다리(100g),"1,433"
822,2023-09-01,,돼지,앞다리(100g),"1,443"
823,2023-09-02,,돼지,앞다리(100g),"1,443"
824,2023-09-03,,돼지,앞다리(100g),"1,443"
825,2023-09-04,,돼지,앞다리(100g),"1,442"
826,2023-09-05,,돼지,앞다리(100g),"1,442"
827,2023-09-06,,돼지,앞다리(100g),"1,445"
828,2023-09-07,,돼지,앞다리(100g),"1,445"
829,2023-09-08,,돼지,앞다리(100g),"1,445"
830,2023-09-09,,돼지,앞다리(100g),"1,445"
831,2023-09-10,,돼지,앞다리(100g),"1,448"
832,2023-09-11,,돼지,앞다리(100g),"1,452"
833,2023-09-12,,돼지,앞다리(100g),"1,454"
834,2023-09-13,,돼지,앞다리(100g),"1,450"
835,2023-09-14,,돼지,앞다리(100g),"1,450"
836,2023-09-15,,돼지,앞다리(100g),"1,443"
837,2023-09-16,,돼지,앞다리(100g),"1,443"
838,2023-09-17,,돼지,앞다리(100g),"1,443"
839,2023-09-18,,돼지,앞다리(100g),"1,446"
840,2023-09-19,,돼지,앞다리(100g),"1,452"
841,2023-09-20,,돼지,앞다리(100g),"1,449"
842,2023-09-21,,돼지,앞다리(100g),"1,449"
843,2023-09-22,,돼지,앞다리(100g),"1,450"
844,2023-09-23,,돼지,앞다리(100g),"1,450"
845,2023-09-24,,돼지,앞다리(100g),"1,450"
846,2023-09-25,,돼지,앞다리(100g),"1,438"
847,2023-09-26,,돼지,앞다리(100g),"1,438"
848,2023-09-27,,돼지,앞다리(100g),"1,441"
849,2023-09-28,,돼지,앞다리(100g),"1,441"
850,2023-09-29,,돼지,앞다리(100g),"1,436"
851,2023-09-30,,돼지,앞다리(100g),"1,436"
852,2023-10-01,,돼지,앞다리(100g),"1,434"
853,2023-10-02,,돼지,앞다리(100g),"1,434"
854,2023-10-03,,돼지,앞다리(100g),"1,434"
855,2023-10-04,,돼지,앞다리(100g),"1,434"
856,2023-10-05,,돼지,앞다리(100g),"1,434"
857,2023-10-06,,돼지,앞다리(100g),"1,437"
858,2023-10-07,,돼지,앞다리(100g),"1,437"
859,2023-10-08,,돼지,앞다리(100g),"1,437"
860,2023-10-09,,돼지,앞다리(100g),"1,437"
861,2023-10-10,,돼지,앞다리(100g),"1,434"
