,date,marketname,itemname,kindname,price
473,2023-06-02,양곡도매,쌀,20kg(1kg),"2,275"
474,2023-06-05,양곡도매,쌀,20kg(1kg),"2,275"
475,2023-06-07,양곡도매,쌀,20kg(1kg),"2,285"
476,2023-06-08,양곡도매,쌀,20kg(1kg),"2,285"
477,2023-06-09,양곡도매,쌀,20kg(1kg),"2,285"
478,2023-06-12,양곡도매,쌀,20kg(1kg),"2,285"
479,2023-06-13,양곡도매,쌀,20kg(1kg),"2,285"
480,2023-06-14,양곡도매,쌀,20kg(1kg),"2,285"
481,2023-06-15,양곡도매,쌀,20kg(1kg),"2,285"
482,2023-06-16,양곡도매,쌀,20kg(1kg),"2,285"
483,2023-06-19,양곡도매,쌀,20kg(1kg),"2,285"
484,2023-06-20,양곡도매,쌀,20kg(1kg),"2,285"
485,2023-06-21,양곡도매,쌀,20kg(1kg),"2,285"
486,2023-06-22,양곡도매,쌀,20kg(1kg),"2,285"
487,2023-06-23,양곡도매,쌀,20kg(1kg),"2,285"
488,2023-06-26,양곡도매,쌀,20kg(1kg),"2,285"
489,2023-06-27,양곡도매,쌀,20kg(1kg),"2,285"
490,2023-06-28,양곡도매,쌀,20kg(1kg),"2,285"
491,2023-06-29,양곡도매,쌀,20kg(1kg),"2,285"
492,2023-06-30,양곡도매,쌀,20kg(1kg),"2,285"
493,2023-07-03,양곡도매,쌀,20kg(1kg),"2,300"
494,2023-07-04,양곡도매,쌀,20kg(1kg),"2,305"
495,2023-07-05,양곡도매,쌀,20kg(1kg),"2,305"
496,2023-07-06,양곡도매,쌀,20kg(1kg),"2,315"
497,2023-07-07,양곡도매,쌀,20kg(1kg),"2,315"
498,2023-07-10,양곡도매,쌀,20kg(1kg),"2,315"
499,2023-07-11,양곡도매,쌀,20kg(1kg),"2,315"
500,2023-07-12,양곡도매,쌀,20kg(1kg),"2,315"
501,2023-07-13,양곡도매,쌀,20kg(1kg),"2,330"
502,2023-07-14,양곡도매,쌀,20kg(1kg),"2,330"
503,2023-07-17,양곡도매,쌀,20kg(1kg),"2,330"
504,2023-07-18,양곡도매,쌀,20kg(1kg),"2,360"
505,2023-07-19,양곡도매,쌀,20kg(1kg),"2,360"
506,2023-07-20,양곡도매,쌀,20kg(1kg),"2,360"
507,2023-07-21,양곡도매,쌀,20kg(1kg),"2,360"
508,2023-07-24,양곡도매,쌀,20kg(1kg),"2,360"
509,2023-07-25,양곡도매,쌀,20kg(1kg),"2,375"
510,2023-07-26,양곡도매,쌀,20kg(1kg),"2,375"
511,2023-07-27,양곡도매,쌀,20kg(1kg),"2,375"
512,2023-07-28,양곡도매,쌀,20kg(1kg),"2,375"
513,2023-07-31,양곡도매,쌀,20kg(1kg),"2,375"
514,2023-08-01,양곡도매,쌀,20kg(1kg),"2,375"
515,2023-08-02,양곡도매,쌀,20kg(1kg),"2,440"
516,2023-08-03,양곡도매,쌀,20kg(1kg),"2,440"
517,2023-08-04,양곡도매,쌀,20kg(1kg),"2,440"
518,2023-08-07,양곡도매,쌀,20kg(1kg),"2,440"
519,2023-08-08,양곡도매,쌀,20kg(1kg),"2,455"
520,2023-08-09,양곡도매,쌀,20kg(1kg),"2,455"
521,2023-08-10,양곡도매,쌀,20kg(1kg),"2,455"
522,2023-08-11,양곡도매,쌀,20kg(1kg),"2,455"
523,2023-08-14,양곡도매,쌀,20kg(1kg),"2,455"
524,2023-08-16,양곡도매,쌀,20kg(1kg),"2,455"
525,2023-08-17,양곡도매,쌀,20kg(1kg),"2,455"
526,2023-08-18,양곡도매,쌀,20kg(1kg),"2,455"
527,2023-08-21,양곡도매,쌀,20kg(1kg),"2,515"
528,2023-08-22,양곡도매,쌀,20kg(1kg),"2,515"
