"일련번호","시장/마트 번호","시장/마트 이름","품목 번호","품목 이름","실판매규격","가격(원)","년도-월","비고","시장유형 구분(시장/마트) 코드","시장유형 구분(시장/마트) 이름","자치구 코드","자치구 이름","점검일자"
"1342760","73","뚝도시장","305","사과(부사, 300g)","1개","1600","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342761","73","뚝도시장","306","배(신고, 600g)","1개","3800","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342762","73","뚝도시장","307","배추(2.5~3kg)","1포기","2500","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342763","73","뚝도시장","282","무(세척무)","1개","1000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342764","73","뚝도시장","309","양파(1.5kg망)","1망","1800","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342765","73","뚝도시장","310","상추(100g)","100g","700","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342766","73","뚝도시장","22","오이","1개","900","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342767","73","뚝도시장","277","호박","1개","1400","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342768","73","뚝도시장","82","쇠고기(육우,불고기)","600g","27000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342769","73","뚝도시장","52","돼지고기(삼겹살)","600g","12000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342770","73","뚝도시장","18","닭고기","1마리","5000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342771","73","뚝도시장","171","달걀(10개)","10개","2000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342772","73","뚝도시장","320","달걀(30개)","30개","6000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342773","73","뚝도시장","259","조기(냉동,국산)","1마리","1200","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342774","73","뚝도시장","152","명태(러시아,냉동)","1마리","2000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342775","73","뚝도시장","256","오징어(냉동,국산)","1마리","5000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342776","73","뚝도시장","266","고등어(생물,국산)","1마리","3000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342777","72","금남시장","28","사과","1개","1800","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342778","72","금남시장","306","배(신고, 600g)","1개","3500","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342779","72","금남시장","307","배추(2.5~3kg)","1포기","2400","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342780","72","금남시장","25","무","1개","1000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342781","72","금남시장","309","양파(1.5kg망)","1망","2000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342782","72","금남시장","23","상추","100g","500","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342783","72","금남시장","311","오이(다다기)","1개","1000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342784","72","금남시장","119","호박(인큐베이터)","1개","1400","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342785","72","금남시장","131","쇠고기(한우1등급)","600g","24000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342786","72","금남시장","202","돼지고기(생삼겹살)","600g","10800","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342787","72","금남시장","18","닭고기","1마리","5000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342788","72","금남시장","171","달걀(10개)","10개","1500","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342789","72","금남시장","320","달걀(30개)","30개","5000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342790","72","금남시장","144","조기(국산,냉동)","1마리","1000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342791","72","금남시장","264","명태(냉동,수입산)","1마리","2500","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342792","72","금남시장","257","오징어(냉동,수입산)","1마리","5000","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342793","72","금남시장","266","고등어(생물,국산)","1마리","2500","2018-12","","001","전통시장","200000","성동구","2018-12-27"
"1342794","74","이마트왕십리점","28","사과","1개","1995","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342795","74","이마트왕십리점","306","배(신고, 600g)","1개","2995","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342796","74","이마트왕십리점","307","배추(2.5~3kg)","1포기","2480","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342797","74","이마트왕십리점","282","무(세척무)","1개","1280","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342798","74","이마트왕십리점","309","양파(1.5kg망)","1망","2900","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342799","74","이마트왕십리점","23","상추","100g","427","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342800","74","이마트왕십리점","311","오이(다다기)","1개","1097","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342801","74","이마트왕십리점","119","호박(인큐베이터)","1개","1690","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342802","74","이마트왕십리점","131","쇠고기(한우1등급)","600g","25500","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342803","74","이마트왕십리점","202","돼지고기(생삼겹살)","600g","10080","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342804","74","이마트왕십리점","18","닭고기","1마리","5000","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342805","74","이마트왕십리점","171","달걀(10개)","10개","2680","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342806","74","이마트왕십리점","320","달걀(30개)","30개","5780","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342807","74","이마트왕십리점","136","조기(국산,생물)","1마리","1980","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342808","74","이마트왕십리점","152","명태(러시아,냉동)","1마리","5980","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342809","74","이마트왕십리점","257","오징어(냉동,수입산)","1마리","2280","2018-12","대만","002","대형마트","200000","성동구","2018-12-27"
"1342810","74","이마트왕십리점","266","고등어(생물,국산)","1마리","2780","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342811","75","이마트성수점","28","사과","1개","1165","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342812","75","이마트성수점","306","배(신고, 600g)","1개","990","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342813","75","이마트성수점","307","배추(2.5~3kg)","1포기","2480","2018-12","","002","대형마트","200000","성동구","2018-12-27"
"1342814","75","이마트성수점","25","무","1개","1280","2018-12","","002","대형마트","200000","성동구","2018-12-27"
